Key	Company	Position	Location	Category	Experience_Level	Salary
70f1879fbe39cff4	TRESUME	Entry level Business /Data Analyst	Richmond, VA	BA	ENTRY_LEVEL	$30 - $35 an hour
a9832db271ef3fc4	US Office of the Secretary of Defense	Operations Research Analyst	Arlington, VA	BA	ENTRY_LEVEL	$155,700 - $183,500 a year
7f4db33d08d5c611	Booz Allen Hamilton	IT Business Analyst, Mid	Hybrid remote in Atlanta, GA	BA	ENTRY_LEVEL	$52,100 - $119,000 a year
0636da957769d80b	PRYSMIANGROUP.COM	SAP Intercompany Business Analyst (FT)	Highland Heights, KY	BA	ENTRY_LEVEL	
f2d5e432940c9f42	NYCM	Business Data Analyst (Hybrid)	Edmeston, NY 13335	BA	ENTRY_LEVEL	$35,057 - $63,103 a year
ec9509f4c611785a	Johns Hopkins University	Investment Operations Analyst	Hybrid remote in Baltimore, MD 21211	BA	ENTRY_LEVEL	$84,700 - $148,300 a year
1a0ede3bde4f644f	L3Harris Technologies	Senior Financial Analyst, Business Operations	Huntsville, AL	BA	ENTRY_LEVEL	
9ab9852ed553c58b	Wine & Spirits Retail Marketing, Inc.	Sales Analyst	North Providence, RI 02904 (Valley area)	BA	ENTRY_LEVEL	$47,764.53 - $57,522.88 a year
9bf6d0fc32b92a08	U.S. Army Cyber Command	SUPERVISORY OPERATIONS RESEARCH ANALYST (DATA SCIENTIST)	Fort Huachuca, AZ	BA	ENTRY_LEVEL	$139,141 - $180,881 a year
210fa3efc627b5c2	Steneral Consulting	Business System Analyst/Project Manager	Remote in United States	BA	ENTRY_LEVEL	
6b248b79e5bffd93	Earnix	Product Manager	Boston, MA	BA	ENTRY_LEVEL	
0e349d1b7de0a886	ABBVIE	District Manager, Psychiatry – Birmingham, AL	Birmingham, AL	BA	ENTRY_LEVEL	
654bd9e7da302c24	Johnson & Johnson	SC Business Analyst I	Danvers, MA	BA	ENTRY_LEVEL	
57397fcad59c2040	Vector Resources, Inc	Operations Analyst - Hybrid - (7 days onsite a month) DC Area	Washington, DC 20011 (Catholic University-Brookland area)	BA	ENTRY_LEVEL	$55 - $75 an hour
f6ce8e51c592b41e	PowerSchool Group LLC	Operations Analyst	Folsom, CA 95630	BA	ENTRY_LEVEL	$75,000 - $90,000 a year
b03ec6b24b136686	Mercy	Associate Technology Operations Analyst (Exempt)	St. Louis, MO 63127	BA	ENTRY_LEVEL	
e88ff003b7dd1fd4	Interbiz Consulting Pvt Ltd	Business Analyst	Tempe, AZ 85282	BA	ENTRY_LEVEL	$52,367.69 - $97,024.54 a year
c900137e15a262db	Digipath Infotech	Business Analyst	Dallas, TX 75201 (Downtown area)	BA	ENTRY_LEVEL	$55,000 - $65,000 a year
c1b9d3e3392eab7c	Beehaven Inc	Systems and Operations Analyst	Edmonds, WA 98026	BA	ENTRY_LEVEL	$70,000 - $90,000 a year
8b5ff71877503609	Children's Mercy KC	Service Operations Analyst I	Kansas City, MO 64108 (Hospital Hill area)	BA	ENTRY_LEVEL	$20.49 an hour
7238922ada2d7d8d	Serco North America	Acquisition Management Analyst, F-35 Propulsion-(Hybrid Telework)	Remote in Crystal City, VA 22202	BA	ENTRY_LEVEL	
353547236e132517	Southwest Airlines	Technology Analyst - Ground Operations Technology Concourse Team	Dallas, TX 75235 (Dallas Love Field area)	BA	ENTRY_LEVEL	From $97,750 a year
9f214d8a6d4406a8	Bank of America	Operations Analyst Markets	Jacksonville, FL 32246 (Windy Hill area)	BA	ENTRY_LEVEL	
380c4f30e25dcadd	Southwest Gas	Analyst I, Operations - Victorville	Victorville, CA 92395	BA	ENTRY_LEVEL	$56,903 - $85,355 a year
623ae773321b48a4	Kenco Management Services LLC	Business Systems Analyst	Monee, IL	BA	ENTRY_LEVEL	
