Key	Company	Position	Location	Category	Experience_Level	Salary
2020f0064160a7d6	Volvo Group	Co-op: Mechanical Engineering, Cab Body (Fall 2024)	Greensboro, NC	CAE	ENTRY_LEVEL	Estimated $44.7K - $56.6K a year
146d7758b0b6e9bf	Lear Corporation	Product Engineer I	Southfield, MI 48033	CAE	ENTRY_LEVEL	Estimated $62.3K - $78.9K a year
51b7402216854791	Gentex Corporation	Process Engineer II	Zeeland, MI	CAE	ENTRY_LEVEL	
971832804a4fef34	General Motors	High Voltage Battery Electrical Systems Analysis (CAE) Engineer	Warren, MI	CAE	ENTRY_LEVEL	Estimated $92.7K - $117K a year
bf2a09d1b8c1c348	Saratech	CAE engineers for Femap, Femap API, SimCenter, and HEEDS	Mission Viejo, CA	CAE	ENTRY_LEVEL	$90,000 a year
11e2ec35f064d5a1	Parsons	Associate Engineer	Centreville, VA	CAE	ENTRY_LEVEL	$24.18 - $42.31 an hour
210bb96415420abb	Guill Tool & Engineering	Design Engineer (FT)	West Warwick, RI	CAE	ENTRY_LEVEL	$70,000 - $80,000 a year
53508563afd6b17c	Michigan State University	Mechanical CAD/PDM Engineer I - Engineering/Physicist Accelerator I	East Lansing, MI 48824	CAE	ENTRY_LEVEL	Estimated $56.6K - $71.6K a year
3d1460e1f8e5d904	Mann+Hummel	Product Design Engineer II	Portage, MI 49002	CAE	ENTRY_LEVEL	$85,000 - $110,000 a year
998a86995992eed7	Inteva Products, LLC	Product Engineer	Troy, MI 48084	CAE	ENTRY_LEVEL	Estimated $68.1K - $86.2K a year
2088f34a4425c25b	Mann+Hummel	Product Design Engineer II	Portage, MI	CAE	ENTRY_LEVEL	Estimated $73.2K - $92.6K a year
56de7540590ff91c	Nissha Medical Technologies	Design Engineer I	Wolcott, CT	CAE	ENTRY_LEVEL	$65,000 - $75,000 a year
477f3134ea230bd0	Parsons	Civil Waste Water Engineer 1	San Diego, CA	CAE	ENTRY_LEVEL	$59,300 - $119,700 a year
e133a05ee9b4babe	Inteva Products, LLC	Product Engineer	Troy, MI 48084	CAE	ENTRY_LEVEL	Estimated $68.1K - $86.2K a year
5848d582091f26ed	Inteva Products, LLC	Product Engineer	Vandalia, OH 45377	CAE	ENTRY_LEVEL	Estimated $67.3K - $85.2K a year
20589f6ab8fe0e24	Infomatic	Power Design Systems Engineer	Sterling Heights, MI 48310	CAE	ENTRY_LEVEL	$45 - $50 an hour
0a3fb693e46da0c3	Quartus Engineering	Opto-Mechanical Engineer - Project Engineer - 206QE	San Diego, CA 92101	CAE	ENTRY_LEVEL	$94,718.39 - $154,768.61 a year
94f2d7d15c2f0e1f	Parsons	Associate Civil/Structural Engineer	Richardson, TX	CAE	ENTRY_LEVEL	$24.18 - $42.31 an hour
214468e990d87306	Apple	Safety FEA Engineer	Cupertino, CA	CAE	ENTRY_LEVEL	
45259f39e6635662	iVantage Group	Design Engineer	Plymouth, MI 48170	CAE	ENTRY_LEVEL	$40 - $45 an hour
d4fdd4091ebe19d5	Alten Technology USA	Design Release Engineer - Powertrain Mount (Automotive)	Auburn Hills, MI	CAE	ENTRY_LEVEL	Estimated $78.1K - $98.9K a year
cfa9df594cd48501	Ford Motor Company	HV - Battery EDS Design and Release Engineer	Dearborn, MI 48124	CAE	ENTRY_LEVEL	Estimated $77.8K - $98.5K a year
067997fa5bcd6caa	Impulse Space	Automation & Controls Engineer	Redondo Beach, CA	CAE	ENTRY_LEVEL	$90,000 - $140,000 a year
2bafe329c157e7db	Voith Group	Mechanical Engineer	York, PA	CAE	ENTRY_LEVEL	$65,000 - $72,000 a year
8ccf18d6e6b69368	Alten Technology USA	Design Release Engineer - Chassis Structures (Automotive)	Auburn Hills, MI	CAE	ENTRY_LEVEL	Estimated $71.6K - $90.7K a year
a83a5b0138438ed6	AO Smith	Product Engineer - Product Development	Lebanon, TN 37090	CAE	ENTRY_LEVEL	Estimated $70.6K - $89.4K a year
47106253e80a7e94	Parsons	Associate Civil Engineer - Transportation Infrastructure	Hybrid remote in San Diego, CA	CAE	ENTRY_LEVEL	$24.18 - $42.31 an hour
104329a44cedb8ee	Gentex Corporation	Process Engineer II	Zeeland, MI	CAE	ENTRY_LEVEL	
678aeb58141350a0	Roush	Mechanical Engineer I	Livonia, MI 48150	CAE	ENTRY_LEVEL	Estimated $68.1K - $86.2K a year
ae5153ffe317713b	Parsons	Associate Road/Civil Engineer	Troy, MI	CAE	ENTRY_LEVEL	$24.18 - $42.31 an hour
cf30dca24f290578	A. O. Smith Corporation	Engineer - Product Development	Lebanon, TN 37090	CAE	ENTRY_LEVEL	$65,000 - $70,000 a year
7e927cef6355376c	AO Smith	Engineer-Product Development	Lebanon, TN 37090	CAE	ENTRY_LEVEL	Estimated $75.6K - $95.7K a year
64b7b0611c34f820	Lucid Motors	Hardware Engineer, Body Structures	Newark, CA 94560	CAE	ENTRY_LEVEL	Estimated $117K - $148K a year
10317295301cad07	Parsons	Associate Engineer - Road/Highway	Memphis, TN	CAE	ENTRY_LEVEL	$24.18 - $42.31 an hour
8b921793f9d7996f	Waltonen	Power Systems Engineer	Hybrid remote in Sterling Heights, MI	CAE	ENTRY_LEVEL	Estimated $86.5K - $109K a year
c4a629db8d98a546	CAE	Technical Associate Electrical Engineer	Tampa, FL 33634	CAE	ENTRY_LEVEL	Estimated $71.3K - $90.3K a year
9ffdf2c608c75a78	Techspace Solutions	MRB Analysis Engineer	Red Oak, TX 75154	CAE	ENTRY_LEVEL	Estimated $80.7K - $102K a year
a6838b083006f10b	Taco Family of Companies	Associate Technical Services Application Engineer	Cranston, RI 02920	CAE	ENTRY_LEVEL	Estimated $62.2K - $78.7K a year
98d3de573f99e383	CAE	Technical Associate Electrical Engineer	Tampa, FL 33634	CAE	ENTRY_LEVEL	Estimated $71.3K - $90.3K a year
3f4a031cbdc73f5e	Tesla	CAE Analysis Engineer, Structures & Durability, Semi	Fremont, CA	CAE	ENTRY_LEVEL	Estimated $106K - $134K a year
4dcc7a4dea98bcf1	General Mills	R&D Engineer II - Modeling & Simulation - Golden Valley, MN	Golden Valley, MN 55427	CAE	ENTRY_LEVEL	Estimated $87.6K - $111K a year
5cd8d7945a7ea349	E-Space	Vice President, Satellite Systems & Engineering	Saratoga, CA	CAE	ENTRY_LEVEL	
9106404e3f48deaf	Mattel	Associate Computer Application Engineer (CAE)	East Aurora, NY 14052	CAE	ENTRY_LEVEL	$56,000 - $70,000 a year
649223e3f75c2122	Mattel	Associate Computer Application Engineer (CAE)	East Aurora, NY 14052	CAE	ENTRY_LEVEL	$56,000 - $70,000 a year
2e8b608a45e61562	Modelon	Simulation Engineer US	Hybrid remote in Ann Arbor, MI 48104	CAE	ENTRY_LEVEL	Estimated $82.4K - $104K a year
52af9a312541f8aa	Gestamp	Formability CAE Engineer	Auburn Hills, MI 48326	CAE	ENTRY_LEVEL	Estimated $72.1K - $91.3K a year
