Key	Company	Position	Location	Category	Experience_Level	Salary
4187bfb631dcbb7b	Relativity Space	Flight Sciences Engineer I	Long Beach, CA	FEA	ENTRY_LEVEL	$90,000 - $117,000 a year
2ef7082a57f4e023	Relativity Space	Flight Sciences Engineer I	Long Beach, CA	FEA	ENTRY_LEVEL	$90,000 - $117,000 a year
181f3f2c1fd66548	AECOM	Mid Level Structural Engineer - Hydraulic Structures	Denver, CO	FEA	ENTRY_LEVEL	$105,000 - $125,000 a year
53ae4511cad5797f	The Systems Group	Design Engineer – Little Rock, AR	Little Rock, AR	FEA	ENTRY_LEVEL	Estimated $67.7K - $85.7K a year
1a6fbfcf61b8a40b	Aforce solutions	Mechanical Engineer- Medical Device	Minneapolis, MN 55411 (North Loop area)	FEA	ENTRY_LEVEL	$50 - $55 an hour
68382e088b10010f	Integrated Magnetics	Mechanical Engineer	Tucson, AZ 85714 (Fairgrounds area)	FEA	ENTRY_LEVEL	From $60,000 a year
fe09c8fb11bbae4f	AECOM	Mid Level Structural Engineer - Hydraulic Structures	Denver, CO 80238	FEA	ENTRY_LEVEL	$105,000 - $125,000 a year
1e2e79aa83a83ce3	TLD USA	Mechanical Engineer	Windsor, CT	FEA	ENTRY_LEVEL	$75,000 - $85,000 a year
e1c6d71d737f3d29	Quest Global	Project Engineer	Phoenix, AZ 85029 (North Mountain area)	FEA	ENTRY_LEVEL	Estimated $78.9K - $100K a year
ec0e6967b8b8dab1	Animax Designs, Inc.	Mechanical Engineer	Nashville, TN 37207	FEA	ENTRY_LEVEL	Estimated $89.6K - $113K a year
7c95a489c165e1d4	Aforce solutions	Mechanical Engineer - Medical Device	Southington, CT 06489	FEA	ENTRY_LEVEL	$40 - $45 an hour
953d78f969f5d011	Quest Global	Project Engineer	Phoenix, AZ 85029 (North Mountain area)	FEA	ENTRY_LEVEL	Estimated $78.9K - $100K a year
d8f8e01932ce3e39	Quest Global	Project Engineer	Phoenix, AZ 85029 (North Mountain area)	FEA	ENTRY_LEVEL	Estimated $78.9K - $100K a year
