Key	Company	Position	Location	Category	Experience_Level	Salary
2b77cca57a7aaabe	Oracle	Product Manager/Strategy 5-ProdDev	United States	PM	ENTRY_LEVEL	NA
e8ed30c43b877013	MAT Holdings, Inc	Associate Product Manager	Jackson, TN 38301	PM	ENTRY_LEVEL	Estimated $59.4K - $75.2K a year
aa49525763fe266d	Zenith Insurance Company	Dir, Business Process Innovation/Product Owner	Woodland Hills, CA 91367	PM	ENTRY_LEVEL	$136,382 - $170,478 a year
5348cf687b9c405c	Vergent LMS, Inc.	Product Owner	Ridgeland, MS 39157	PM	ENTRY_LEVEL	
0ada2dd8054b7f45	Greenphire	Product Owner	King of Prussia, PA	PM	ENTRY_LEVEL	
14e5d1268b4c87b8	MAT Holdings, Inc	Associate Product Manager	Springfield, MN 56087	PM	ENTRY_LEVEL	Estimated $64.5K - $81.6K a year
5cce2c26ba09db66	Publicis Sapient	Ad Tech Product Manager	New York, NY	PM	ENTRY_LEVEL	$124,000 - $185,000 a year
73ac2ab6ac8a07ed	Curate	Product Manager	Remote in United States	PM	ENTRY_LEVEL	$67,000 - $91,000 a year
581e5f6eb7951f15	Legacy Chevrolet GMC	Product Manager	Collins, MS 39428	PM	ENTRY_LEVEL	$60,000 - $100,000 a year
6b248b79e5bffd93	Earnix	Product Manager	Boston, MA	PM	ENTRY_LEVEL	
4afbe5da87698f37	Marketlab Inc.	Associate Product Manager - Medical Laboratory	Caledonia, MI 49316	PM	ENTRY_LEVEL	
d9005cbbbd7a331a	Emerson	Analytics & AI Product Owner	Hybrid remote in Boulder, CO	PM	ENTRY_LEVEL	$113,000 - $154,000 a year
8bee77dc361581e6	Publicis Sapient	Ad Tech Product Manager	Atlanta, GA	PM	ENTRY_LEVEL	$112,000 - $168,000 a year
e984180d81ad8b22	Publicis Sapient	Ad Tech Product Manager	Chicago, IL	PM	ENTRY_LEVEL	$112,000 - $168,000 a year
b3196889869c2e13	The Walt Disney Studios	Product Marketing Manager	New York, NY	PM	ENTRY_LEVEL	$106,764 - $144,220 a year
10f59146656298db	FICO	Product Marketing Assoc. Manager/Manager - AI	Remote in United States	PM	ENTRY_LEVEL	$77,000 - $121,000 a year
0e2f3ccc34f18db5	GoodRx	Senior Product Manager	San Francisco, CA	PM	ENTRY_LEVEL	$143,000 - $229,000 a year
67d2dda0e6d24cdf	Oracle	Product Manager/Strategy 3-ProdDev	United States	PM	ENTRY_LEVEL	
3e4718662a893feb	Agero	Product Manager	Remote in San Francisco, CA	PM	ENTRY_LEVEL	$110,000 - $135,000 a year
cfa177e4c8fee6ad	Oracle	Product Manager 3	United States	PM	ENTRY_LEVEL	
6e9f83c30b021bf2	Cariloop	Remote Product Associate	Remote in United States	PM	ENTRY_LEVEL	
fac15c70d86dac27	Tesla	Technical Program Manager, New Product Introduction, Body	Austin, TX	PM	ENTRY_LEVEL	
d58462d728ce8ec2	Warner Music Group	Product Data Management Financial FIT Cleanup Consultant	Nashville, TN	PM	ENTRY_LEVEL	Estimated $62.8K - $79.5K a year
5d0d5505d5f05d43	BOEING	External Product Implementation Specialist 2	San Diego, CA	PM	ENTRY_LEVEL	$78,000 - $86,000 a year
8651814da90eba40	NORTHEASTERN SUPPLY INC	HVAC Brand-Product Manager - Golden Ring	Rosedale, MD 21237	PM	ENTRY_LEVEL	Estimated $83.7K - $106K a year
4af12544144aed61	Thompson Tractor Company	General Product Support Sales Manager	Birmingham, AL 35217	PM	ENTRY_LEVEL	Estimated $58.5K - $74K a year
c31ecf18953853bc	Siemens Energy	Turbine Blades & Vanes Manufacturing Product Owner SGT5/6-9000HL	Orlando, FL 32817	PM	ENTRY_LEVEL	
da6d331654743863	Connect Assistance	Product Manager	Hybrid remote in San Juan, PR 00907	PM	ENTRY_LEVEL	
adbbb1bde7c7a62e	Intelliswift Software, Inc.	Product Manager, Engagement Growth	San Jose, CA	PM	ENTRY_LEVEL	$66.90 an hour
804b3577473a5b72	Ghirardelli Chocolate Company	Associate Product Manager	San Leandro, CA 94578 (Downtown area)	PM	ENTRY_LEVEL	Estimated $64.3K - $81.4K a year
77e4407bcf04e495	Thompson Tractor Company	General Product Support Sales Manager	Birmingham, AL 35217	PM	ENTRY_LEVEL	Estimated $62.6K - $79.3K a year
393b8a9d33259785	Canopy	Associate Product Manager	Draper, UT	PM	ENTRY_LEVEL	
