Key	Company	Position	Location	Category	Experience_Level	Salary
8412c923b8e96017	Sudofy.Me	Project Management Assistant	Hanahan, SC	PJM	ENTRY_LEVEL	$60,000 - $100,000 a year
4efddbb78e0c4f41	Skywalk Global	Project Manager	Dimondale, MI 48821	PJM	ENTRY_LEVEL	Estimated $74.7K - $94.5K a year
f60b260a2bcc2bbc	Zinsmeyer Structural Steel	STRUCTURAL STEEL PROJECT MANAGER	Castroville, TX 78009	PJM	ENTRY_LEVEL	$65,000 - $90,000 a year
ca6c970d87a3c0d5	We staff better	Project Manager	Parkersburg, WV 26101	PJM	ENTRY_LEVEL	Estimated $52.3K - $66.2K a year
2f6ba12c51511c78	Independent Power	Project Manager	Boulder, CO 80304 (Central Boulder area)	PJM	ENTRY_LEVEL	$60,000 - $80,000 a year
8e687e2e8de32f62	Dream Finders Homes LLC	Starts Coordinator	Austin, TX 78759 (Arboretum area)	PJM	ENTRY_LEVEL	
acdebc84a627e1ab	PPC Partners Inc	Project Coordinator	Macon, GA	PJM	ENTRY_LEVEL	Estimated $56.7K - $71.8K a year
d121ac4cb6411885	Atlas Real Estate - Nevada	Renovation and Turn Project Coordinator	Las Vegas, NV 89135 (Summerlin South area)	PJM	ENTRY_LEVEL	$50,000 - $75,000 a year
8568a432bef17cc8	Daymon	Project Manager, Grocery	Sunbury, PA 17801	PJM	ENTRY_LEVEL	Estimated $49.6K - $62.8K a year
de6ce316ea72d72e	Impact Fire Services	Fire Alarm Project Manager	Englewood, CO	PJM	ENTRY_LEVEL	$38 - $45 an hour
5585b941dce4a3dd	Impact Fire Services	Fire Alarm Project Manager	Colorado	PJM	ENTRY_LEVEL	$38 - $45 an hour
3841da4e64e917e7	Eutis Staffing Inc	Project Management & Business Operations Specialists Hillsborough Area Regional Transit 724544	Tampa, FL 33605 (Historic Ybor area)	PJM	ENTRY_LEVEL	$30.35 an hour
8f09ba7efa31736f	The Armstrong Company - Houston	Commercial Project Manager	Houston, TX 77040	PJM	ENTRY_LEVEL	Estimated $68.1K - $86.3K a year
268a06b57d30b5ca	Bechtel	Environmental Project Lead	Richland, WA	PJM	ENTRY_LEVEL	$105,060 - $160,220 a year
8e16876f9454a2bb	Bank of Hawaii	Program Manager Model Validation	Honolulu, HI	PJM	ENTRY_LEVEL	Estimated $70.1K - $88.8K a year
a185f7d7f41388c5	Total Home Roofing	Project Scheduler	Rockledge, FL	PJM	ENTRY_LEVEL	$21 an hour
0daee29d4e9a4ba4	BUSA - BELFOR USA Group, Inc	Restoration Project Manager	Merrillville, IN 46410	PJM	ENTRY_LEVEL	Estimated $50.1K - $63.5K a year
d45280dd1cb2d6ee	Associated Building Specialties, Inc	Project Manager	Broomfield, CO 80023	PJM	ENTRY_LEVEL	$60,000 - $75,000 a year
06438e69668615cc	Xactly by GTE	Water Damage Project Manager	Piscataway, NJ	PJM	ENTRY_LEVEL	$50,000 - $100,000 a year
1d76e21f05dbc51e	Weitzman	Construction Coordinator	Houston, TX 77057 (Galleria-Uptown area)	PJM	ENTRY_LEVEL	Estimated $44.9K - $56.9K a year
869d08c0ee4e7b44	CACI	Junior PMO Analyst – Program/Project Operations	Fairfax, VA 22032	PJM	ENTRY_LEVEL	
6e234b25d57a76eb	California Department of Housing and Community...	JC-405374 - Telework Option - Hybrid - Program Manager	Hybrid remote in Sacramento, CA 95833	PJM	ENTRY_LEVEL	$6,563 - $8,153 a month
934a3815625bc8c5	CBRE	Program Manager, Global IFM(Hiring Our Heroes Fellowship)	San Antonio, TX	PJM	ENTRY_LEVEL	Estimated $63.3K - $80.1K a year
d1ff5c794a22cc57	Vankirk Electric	Jobsite Project Coordinator	Venice, FL 34292	PJM	ENTRY_LEVEL	Estimated $45.7K - $57.9K a year
559e0c2e00db9dff	Fluor Corporation	Associate Project Controls Specialist I	Greenville, SC	PJM	ENTRY_LEVEL	Estimated $61.9K - $78.4K a year
