Key	Company	Position	Location	Category	Experience_Level	Salary	Description	Benefits
146d7758b0b6e9bf	Lear Corporation	Product Engineer I	Southfield, MI 48033	CAE	ENTRY_LEVEL	Estimated $62.3K - $78.9K a year	Lear For YouWe work hard for the people who work for us. We champion our teams. We foster collaboration, inclusion, respect and excellence. What we are trying to say is we want to be more for you.We are your path to a better career, a better future, and a better you.Our teams have invented groundbreaking technologies, flawlessly manufactured millions of products and earned a long list of awards. Year after year, we are one of the World's Most Admired Companies.Our teams are the secret to our success. They are empowered, inventive and inclusive. Passionate about their craft. Driven to succeed. Because we all understand that we must work together to win.Are you ready for a better career? A better future?We're Lear For You. PRODUCT ENGINEER ISOUTHFIELD, MICHIGAN – WORLD HEADQUARTERSAs a member of the Luxury Comfort team, the Product Engineer will be responsible for the design & development of a seating component or assembly design from concept ideation to physical proof of the concept, followed by the support of the “productionization” of the final product.The Role:Your work will include, but not be limited to:Develop concept designs to match customer requirements Collaborate with internal and external teams on ideation, problem solving and specification developmentConduct or direct experiments to gain fundamental knowledge and address technical challenges for innovative seating systems.Work with CAE team to model material for virtual testing purposesWork with internal and external teams to produce physical samples of the component or system Create documentation and presentations to communicate to all levels of the organizationYour Qualifications:Bachelor's degree or equal experience in mechanical engineering. High proficiency in troubleshooting and problem solving Innovative, outside the box thinking Strong organization and attention to detailSelf-sufficient and able to work independently (without direction) towards final goalA history of new approaches/solutions to problems Interior or seating experienceAbility to communicate with management, engineers, sales and suppliers effectivelyBonus If You Have:Experience with materials science, plastics, extruded parts, extrusion manufacturingExperience with sustainable design, materials, and manufacturingLear Corporation is an Equal Opportunity Employer, committed to a diverse workplace.Applicants must submit their resume for consideration using our applicant tracking system. Due to the high volume of applications received, only candidates selected for interviews will be contacted. Candidates must be legally authorized to work in the United States without sponsorship. Unsolicited resumes from search firms or employment agencies, or similar, will not be paid a fee and will become the property of Lear Corporation.	[]
51b7402216854791	Gentex Corporation	Process Engineer II	Zeeland, MI	CAE	ENTRY_LEVEL		  Advance the automotive market and advance your career at Gentex! Join a collaborative culture devoted to innovation, cooperation, and continuous improvement. Your ideas are not just heard, they are celebrated! Explore Gentex today!    POSITION OVERVIEW    The purpose of the Process Engineer II is to manage projects related to developing, designing and supporting manufacturing processes and equipment. This role also influences product development for manufacturability.    WHAT YOU’LL DO  Monitor, develop and optimize production processes to improve quality, reduce cost, product flow and process capabilities. Reduce process variation caused by equipment and/or product design. Research and design/purchase equipment for new and existing processes. Participate in the product/equipment launch process through process development. Perform and oversee problem solving activities, focused on identifying root cause and implementing corrective actions. Participate and contribute to safety and quality issue resolution activities. Interface with other departments to ensure that company quality standards and customer requirements are met. Assist in the development of Control Plans, FMEA’s, Process Flow Charts and Assembly Drawings. Assist in creating a standard work method for each operation by simulating production operations to ensure the best practices are utilized. Utilize established best practices in the design of fixtures and equipment. Maximize ergonomics of each workstation through layout design and tool selection/placement. Develop fixturing and workstation tools as needed. Other duties as assigned.   HOW YOU’LL DO IT  Optimizing work processes/equipment – Knowing the most effective and efficient processes to get things done, with a focus on safety, quality and continuous improvement. Analytical thinking – Tackling a problem by using a logical, systematic, and sequential approach. Fostering teamwork – Building effective partnerships and working collaboratively with others to meet shared objectives. Personal accountability – Keeping promises and honoring commitments, accepting responsibility for one's actions and assuming responsibility when dealing with problems, crises, and issues. Attention to detail - Ensuring information is complete and accurate; following up with others to ensure that agreements and commitments have been fulfilled. Communicating effectively - Developing and delivering multi-mode communications that convey clear understanding, considering the unique needs of different audiences. Maintaining high level of honesty, integrity, and confidentiality with respect to company matters. Complying with all Company policies and procedures, safety regulations, company safety policies and safely perform all duties, including but not limited to, promoting a safe workplace.   WHAT TO BRING  4-year degree in Engineering or other related field preferred, or equivalent relevant experience. Experience working in a manufacturing environment. Ability to work nonstandard hours and/or holidays as needed.   WHAT WILL HELP  Experience working with Lean/TPS manufacturing principles. Experience working with Solid Works and/or other CAD/CAE systems. Experience working with PLC Logic and other Process Control systems. Experience with Statistical Analysis, Six-Sigma and/or SPC. Experience in Project Management. Knowledge and understanding of, but not limited to, Industrial Automation/Robots, Vision, Fluid Power Systems (Hydraulic/Pneumatic) or Motion Control. Gentex is an equal opportunity employer    Gentex extends equal employment opportunities to qualified applicants and employees regardless of an individual’s race, color, religion, national origin, age, sex (including pregnancy, gender identity, and sexual orientation), disability, marital status, military service, height, weight, genetic information, or any other reason protected by law.    Assistance    Gentex is committed to working with and providing reasonable accommodation to applicants with disabilities. For accommodation requests, email us at      recruiting@gentex.com  . Gentex will not discriminate against any qualified individual who can perform the essential functions of the job with or without a reasonable accommodation.    Understand your right to work    At Gentex, we use E-verify to confirm you're authorized to work in the U.S.    E-Verify –      English & Spanish     Right to Work –      English     Right to Work -      Spanish  	[]
971832804a4fef34	General Motors	High Voltage Battery Electrical Systems Analysis (CAE) Engineer	Warren, MI	CAE	ENTRY_LEVEL	Estimated $92.7K - $117K a year	"Job Description This Role Offers the Following Work Appropriately Strategy: Hybrid This position does not require an employee to be on-site full-time but the general expectation is that the employee be onsite an average of one-to-three days each week. The Role The High Voltage Battery Electrical Systems Analysis (CAE) Engineer, in the Global Electrification Battery Systems (GEBS) department, will be responsible to execute one dimensional electrical component and sub-system models for electrical and electronics components like batteries, fuses, cables, connectors, contactors, BDU, busbars, current collector plate, CMU and other battery electronics. The analysis engineer will be also responsible to support development of new analysis capabilities in the space of High and Low Voltage electrical systems to support hardware reduction goals. The analysis engineer will interpret and present results to decision makers at key program gates for GM Global Vehicle Development Program. The analysis engineer will be required to interact closely with team members and work cross functionally to deliver standard work. What You'll Do Develop high voltage battery and electrical systems models using tools like Saber, Spice, Matlab and Simulink Perform electrical circuit analysis to deliver design solutions which are robust and reliable, utilizing optimization and statistical methods when appropriate Work collaboratively with Battery System Integration Engineers, Electrical Architects, Advanced Engineers, Program teams and Component Hardware Design teams to ensure system requirements are met, design concepts are evaluated, and development and validation plans are successful Support new analysis capability development and document new standard procedures Ensure on time delivery of high-quality results Additional Job Description Your Skills & Abilities (Required Qualifications) BS in Electrical Engineering, Computer Science or Mechanical Engineering 2+ yrs of experience with analysis, design and/or testing of high and low voltage electrical components and sub-systems with electrified vehicles (BEV, EREV, PHEV, HEV, BAS) Experience in Synopsys Saber or comparable Electrical Circuit Analysis tools like Spice, Simplorer, Matlab and Simulink Good understanding of electrical systems, controls and component development / validation Strong debugging and troubleshooting skills What Will Give You A Competitive Edge (Preferred Qualifications) MS or PhD in Electrical Engineering, Computer Science or Mechanical Engineering Experience with development and usage of CAE/CAD tools Black belt in performing DFSS analysis Knowledge of Lithium-ion battery cell modeling and simulation Modeling (or other cell chemistries: Lead Acid, etc.) Experience in applying Artificial Intelligence (AI)/Machine Learning (ML) methods About GM Our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer and more equitable for all. Why Join Us We aspire to be the most inclusive company in the world. We believe we all must make a choice every day – individually and collectively – to drive meaningful change through our words, our deeds and our culture. Our Work Appropriately philosophy supports our foundation of inclusion and provides employees the flexibility to work where they can have the greatest impact on achieving our goals, dependent on role needs. Every day, we want every employee, no matter their background, ethnicity, preferences, or location, to feel they belong to one General Motors team. Benefits Overview   The goal of the General Motors total rewards program is to support the health and well-being of you and your family. Our comprehensive compensation plan incudes, the following benefits, in addition to many others:   Paid time off including vacation days, holidays, and parental leave for mothers, fathers and adoptive parents; Healthcare (including a triple tax advantaged health savings account and wellness incentive), dental, vision and life insurance plans to cover you and your family; Company and matching contributions to 401K savings plan to help you save for retirement; Global recognition program for peers and leaders to recognize and be recognized for results and behaviors that reflect our company values; Tuition assistance and student loan refinancing; Discount on GM vehicles for you, your family and friends. Diversity Information General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities. GM is proud to be an equal opportunity employer.  We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities. Equal Employment Opportunity Statements GM is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices laws. GM is committed to providing a work environment free from unlawful discrimination and advancing equal employment opportunities for all qualified individuals. As part of this commitment, all practices and decisions relating to terms and conditions of employment, including, but not limited to, recruiting, hiring, training, promotion, discipline, compensation, benefits, and termination of employment are made without regard to an indivi d ual's protected characteristics. For purposes of this policy, “protected characteristics"" include an individual's actual or perceived race, color, creed, religion, national origin, ancestry, citizenship status, age, sex or gender (including pregnancy, childbirth, lactation and related medical conditions), gender identity or gender expression, sexual orientation, weight, height, marital status, military service and veteran status, physical or mental disability, protected medical condition as defined by applicable state or local law, genetic information, or any other characteristic protected by applicable federal, state or local laws and ordinances. If you need a reasonable accommodation to assist with your job search or application for employment, email us at Careers.Accommodations@GM.com or call us at 800-865-7580. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying."	['401(k)', '401(k) matching', 'Health insurance', 'Health savings account', 'Life insurance', 'Paid time off', 'Parental leave']
bf2a09d1b8c1c348	Saratech	CAE engineers for Femap, Femap API, SimCenter, and HEEDS	Mission Viejo, CA	CAE	ENTRY_LEVEL	$90,000 a year	About the Opportunity: Saratech is seeking highly experienced CAE engineers who are experienced with some of the following: Femap, Femap API, SimCenter, FloEFD, STAR CCM+, Amesim and HEEDS. Candidates must have a strong theoretical background in numerical methods for structural, thermal and or fluid dynamics. Experience with mult-physics optimization, composite analysis, fatigue and fracture mechanics are a plus. Salary: min wage - $90K Qualifications and Experience:Degree in Engineering or related field; advanced degree preferred.Relevant experience in engineering design through manufacturing and management of technical teams.Relevant experience of the support process to maintain a high level of service and customer satisfaction across all customer sectors.Strong understanding of pre-sales processes and tools, as well as the LAER and Digital Thread methodologies.Proficiency in relevant engineering software, tools and methodologies.Demonstrated ability to manage multiple projects and priorities effectively.Knowledge of customer relationship management tools, Salesforce.com a plus.Strong organizational and interpersonal skills.Strong written and verbal communication skills.Travel as required for customer visits and meetings.Duties ad Responsibilities:Pre-Sales Process Development and Implementation: Design and execute pre-sales processes and tools for Stages 1-4 of the LAER/Digital Thread framework, focusing on engineering design through manufacturing.Technical Point of Contact: Serve as a primary technical point of contact in named accounts to address customer needs, inquiries, and concerns effectively.Cross-Functional Liaison: Act as a liaison between customers, support teams, sales groups, and maintenance teams to ensure seamless communication and coordination.Customer Visits and Business Development: Accompany the sales team on customer visits to help secure new business and identify additional opportunities. Also visit customers to meet their training and support needs.Delegate technical responsibilities and monitor progress of projects.Deliver projects consistently, on time, and on budget.Must ensure teams follow the correct procedures, policies and documentation requirements across project phases.Provide direction and technical expertise in product development and systems integration.Identify resource and equipment requirements, efficient capacity planning and manage software and hardware availability.Must provide technical training to teams when required and serve as a technical mentor to team members. Also coach direct reports in the development of the career ladders.Meet with client teams and gather requirements, conduct regular team meetings and track project progress.Provide an efficient working atmosphere to the team and ensure objectives are met within stipulated time.Make presentations on project status, present monthly and annual reports to senior management.Other Requirements:Complies with all organizational policies and procedures.Maintains strict confidentiality of all customer and/or employee information to assure customer and/or employee rights are protected.Adheres to policies regarding notification of absence and DTO requests.Attends all mandatory management and staff meetings.Represents the organization in a respectful and professional manner.Attend and comply with annual health, safety, training and education requirements.Adheres to dress code, appearance is neat and clean.Subject to background check.Additional Information: Physical demands:   Follow detailed complex directions, reason and problem solve.The person will frequently communicate and converse with other staff. Must be able to exchange accurate information in these situations.The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job.The ideal candidate must be able to complete all physical requirements of the job with or without a reasonable accommodation.Must be able to remain in a stationary position 50% of the time. The person in this position needs to occasionally move about inside the office to access file cabinets, office machinery, etc.Constantly operates a computer and other office productivity machinery, such as a calculator, copy machine, and computer printer.Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Company participates in E-Verify.Company is committed to providing equal employment opportunity without regard to race, color, religion, sex, sexual orientation, national origin, age, disability, or any other protected status with respect to recruitment, hiring, promotion and other terms and conditions of employment.Nothing in this job description restricts management’s right to assign or reassign duties and responsibilities to this job at any time.This description reflects managements assignment of essential functions, it does not proscribe or restrict the tasks that may be assignedThis job description is subject to change at any time. Benefits Insurance: All full-time regular employees (and dependents) are eligible to get medical, dental, vision coverage. Employees also can buy up on benefits like FSA, HSA, Life insurance, long and short-term disability. Comprehensive health care and wellness plans Retirement Plan: All employees can enroll in the company’s 401k with company matching. Paid Time Off: All full-time regular exempt employees are eligible for our Discretionary Time Off vacation policy after 90 days from their start date, Discretionary Time Off plan is a non-accrual plan for employees. All full-time regular non-exempt employees are eligible for our Paid Time Off Plan policy after 90 days, Paid Time Off plan is an 3.33 hours accrual per pay period for employees. Paid Time Off: All full-time regular exempt employees are eligible for our Discretionary Time Off vacation policy after 90 days from their start date, Discretionary Time Off plan is a non-accrual plan for employees. All full-time regular non-exempt employees are eligible for our Paid Time Off Plan policy after 90 days, Paid Time Off plan is an 3.33 hours accrual per pay period for employees. Paid Holidays: All full-time employees will receive 8 paid holidays per year. Full-time non-exempt employees receive an extra floater holiday per year. Paid Sick time: All full-time employees will receive 32 sick hours per year. Part time employees will receive 24 hours or minimum sick time required by the state. NOTE TO STAFFING AGENCIES AND RECRUITERS: Saratech does not accept unsolicited resumes from any external agency for the placement of any position. Unsolicited resumes submitted by agencies and received by Saratech will be considered the property of Saratech and may be contacted and engaged with directly by Saratech. Saratech will not pay a placement fee or any other fees to any third-party agency, firm or recruiter who is not specifically retained with a signed fee agreement by Saratech Human Resources to conduct a candidate search. Please do not forward unsolicited resumes to our website or to any Saratech employee. Saratech will not be responsible for any fees associated with unsolicited resumes. EQUAL EMPLOYMENT OPPORTUNITY NOTICE: Paydarfar Industries, Inc. dba Saratech is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, disability, protected veteran status, or any other basis protected by applicable federal, state, or local law.	['401(k)', '401(k) matching', 'Dental insurance', 'Disability insurance', 'Flexible spending account', 'Health insurance', 'Health savings account']
11e2ec35f064d5a1	Parsons	Associate Engineer	Centreville, VA	CAE	ENTRY_LEVEL	$24.18 - $42.31 an hour	 In a world of possibilities, pursue one with endless opportunities. Imagine Next!  When it comes to what you want in your career, if you can imagine it, you can do it at Parsons. Imagine a career working with intelligent, diverse people sharing a common quest. Imagine a workplace where you can be yourself. Where you can thrive. Where you can find your next, right now. We’ve got what you’re looking for.  Job Description: Parsons is looking for an amazingly talented Associate Engineer to join our team! In this role you will get to perform a variety of engineering duties by applying basic engineering techniques and analyses within one discipline. The Engineer at this level is in a developmental mode, being trained under close supervision in the utilization of engineering theories and practices, and gaining exposure to Company procedures. Assignment may be to a structured rotational program which would include experience in Project Controls, Procurement, and Construction Management, as well as through several disciplines in Engineering. Some assignments involve CAE (computer aided engineering)/CAD (computer aided design) applications. Willingness to travel or relocate to supplier, client, or construction site locations is expected. SPECIFIC RESPONSIBILITIES: Performs various engineering and design assignments requiring the application of basic principles and fundamental theories studied in a Bachelors in engineering program, and available data in the engineering field.Prepares or assists in preparing fundamental engineering computations, material quantity takeoffs, estimates, surveys, and designs.Assists in the preparation of detailed requisitions for material purchase, services, and subcontracts.Under the guidance of a more senior engineer, assists in reviewing supplier drawing submittals and technical bid analyses.Assists in the preparation and issuance of specifications, data sheets, and other construction documents.Provides input to CAD Designer/Drafters working on the same project.Performs other responsibilities associated with this position as may be appropriate. EDUCATION/EXPERIENCE: Bachelor's Degree in Engineering (or related field) and typically 0+ years of related work experience. SKILLS/COMPETENCIES: Requires basic engineering knowledge in electrical, mechanical, civil, or a related field. Familiarity with CAD and other PC software packages typically associated with engineering is also required. Minimum Clearance Required to Start: Not Applicable/None  This position is part of our Critical Infrastructure team.  For more than 75 years, our experts have designed and delivered the critical infrastructure that connects and protects communities around the world. We work in diverse, collaborative teams, both within the company and with our partners and customers, to plan, design, build, and modernize infrastructure. We take special pride in projects and solutions that improve communities as well as people’s quality of life by promoting economic growth, enhancing mobility, and increasing sustainability and resiliency. Powered by our people, we provide the imagination necessary to support our customers’ visions—and to help them see new possibilities.  Salary Range: $24.18 - $42.31  We value our employees and want our employees to take care of their overall wellbeing, which is why we offer best-in-class benefits such as medical, dental, vision, paid time off, Employee Stock Ownership Plan (ESOP), 401(k), life insurance, flexible work schedules, and holidays to fit your busy lifestyle!  The position may require a COVID vaccination or an approved accommodation/exemption for a disability/medical condition or religious belief as required by customer requirements and some cases federal, state, provincial or local mandates. Parsons is an equal opportunity employer committed to diversity, equity, inclusion, and accessibility in the workplace. Diversity is ingrained in who we are, how we do business, and is one of our company’s core values. Parsons equally employs representation at all job levels for minority, female, disabled, protected veteran and LGBTQ+.  We truly invest and care about our employee’s wellbeing and provide endless growth opportunities as the sky is the limit, so aim for the stars! Imagine next and join the Parsons quest—APPLY TODAY!	['401(k)', 'Dental insurance', 'Employee stock ownership plan', 'Flexible schedule', 'Health insurance', 'Life insurance', 'Paid time off']
210bb96415420abb	Guill Tool & Engineering	Design Engineer (FT)	West Warwick, RI	CAE	ENTRY_LEVEL	$70,000 - $80,000 a year	"Design Engineer Position Description: The fundamental scope of this role is to design extrusion die assemblies that meet customer requirements.   Position Responsibilities: New product design concept generation and research. Define customer requirements using job quotation, purchase order, and customer interactions (emails, phone calls, conference calls). Develop design concept to meet customer requirements. Develop the detailed design based on customer requirements utilizing SolidWorks (CFD/CAE programs), database searches, along with proprietary design tools. Prepare design to be released to operations for manufacture by ensuring accurate and complete drawings and BOMs. Perform project reviews to define and implement process/product improvements. Presenting to customers and at trade shows. Position Knowledge/Skills /Requirements:Basic Requirements: Strong knowledge of SolidWorks. Sound problem-solving skills. Ability to create machinist blueprints. Fundamentals of Engineering design principles. BSME or equivalent. Additional Requirements: Strong interpersonal skills in working with others. Sound decision-making. Solid written, verbal and presentation skills. Strong organizational skills. A continuous learner. Attention to detail. Willingness to travel. Preferred Requirements: Knowledge of CFD/CAE programs. A strong desire to develop one's skills, talents, and knowledge to eventually move into a technical sales role a plus. Computer coding is a plus. Hourly wage: Commensurate with experience.   Benefits: Overtime. Health-Individual Plan n/c. Dental-Individual Plan n/c. Low-cost Vision Plan. Vacation time. Holidays. 401k Retirement Plan/Match up to 3%. On bus route. ""WE ARE AN EQUAL/OPPORTUNITY AFFIRMATIVE ACTION EMPLOYER.""   About the Company:   Guill Tool & Engineering is recognized as the extrusion technology leader in the design and manufacture of plastic extrusion tooling worldwide. Guill maintains the most technically capable workforce committed to the continued success of our customers by providing quality extrusion tooling. About Guill Tool & Engineering:Guill Tool & Engineering is recognized as the extrusion technology leader in the design and manufacture of plastic extrusion tooling worldwide. Guill maintains the most technically capable workforce committed to the continued success of our customers by providing quality extrusion tooling."	['401(k)', '401(k) matching', 'Health insurance', 'Paid time off']
53508563afd6b17c	Michigan State University	Mechanical CAD/PDM Engineer I - Engineering/Physicist Accelerator I	East Lansing, MI 48824	CAE	ENTRY_LEVEL	Estimated $56.6K - $71.6K a year	Michigan State University (MSU) operates the Facility for Rare Isotope Beams (FRIB) as a user facility for the U.S. Department of Energy Office of Science (DOE-SC), supporting the mission of the DOE-SC Office of Nuclear Physics. FRIB provides researchers with one of the most advanced tools of modern science to study rare isotopes, or short-lived nuclei not normally found on Earth. Hosting what is designed to be the most powerful heavy-ion accelerator, FRIB enables scientists to make discoveries about the properties of rare isotopes, nuclear astrophysics, fundamental interactions, and applications for society, including in medicine, homeland security, and industry. User facility operation is supported by the DOE-SC Office of Nuclear Physics as one of 28 DOE-SC user facilities. MSU’s nuclear physics graduate program is a top-ranked program nationally, according to U.S. News & World Report. This position affords an exciting opportunity to become part of the world-class FRIB Laboratory that enables unique discovery opportunities in nuclear science. Purpose: Entry-level position administering the CAE/CAD/PDM systems and designing innovative technical devices supporting heavy-ion accelerator development and operation. Major Duties/Responsibilities: CAE/CAD/PDM AdministrationProvide active support to assist users of all CAE/CAD systems as neededDevelop and maintain automated tools to aid in engineering activitiesManage CAD License use for FRIB Mechanical Design DepartmentManage PDM Licenses for the entire FRIB FacilityAdminister file permissions within PDM systemMaintain and develop PDM system workflowsMechanical Design    Produce and document effective design solutions by developing concepts and creating CAD designs/detailsAssists with project leader and subject matter experts to transform technical requirements into design solutionsAssist project leader and subject matter experts in reviewing design layouts, budgets, project documentation for construction, testing, modification of hardware and software and/or the installation of sub-systemsPerforms other duties as required or assigned which are reasonably within the scope of the duties in this job classification.Knowledge, Skills, and Abilities:Proficiency with Programmatic Codes: Python, C/C+++, Visual Basic, MATLABProficiency with SolidWorks and ADEPT.Proficiency with Microsoft Office Suites.Mechanical Engineering Expertise –knowledge and understanding of practices of engineering, and sound judgment regarding their implementation to contribute to organizational performance and success.Proven ability to produce quality work and perform several assignments in parallelCommunication – effectively articulating and exchanging information with stakeholders at all levels—internal and external.    Ability to interact with customers, identify requirements, and estimate resources for assigned work.Service Focus – the ability to identify and meet appropriate client expectations by offering high-quality services and solutions tailored to diverse client and stakeholder needs.Collaboration & Teamwork – the ability to work effectively with others.Continuous Learning – the ability to maintain continuous improvement.Ethical Practice – the ability to support and uphold the values of the organization while balancing and mitigating risk. Unit Specific Education/Experience/Skills Bachelor’s degree in Systems or Computer Science; or Engineering or Physics, with coursework in Systems or Computer Science; one to three years of related and progressively more responsible or expansive work experience in electronics, mechanical and/or electrical drafting and fabrication techniques, or computer programming in one or more languages used by the FRIB; or an equivalent combination of education and experience. Desired QualificationsOne year of experience with CAD/CAEOne year of experience with Programmatic CodesOne year of experience with SolidWorksExperience in the design and fabrication of sophisticated research equipmentWork experience in fabrication techniques, cryogenic systems, electronics, mechanical and electronic drafting and computer systemsAbility to work with export-controlled materialsEqual Employment Opportunity Statement All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, citizenship, age, disability or protected veteran status. Required Application Materials Please provide a cover letter, resume and three professional references from your last three employers. Work Hours STANDARD 8-5 Website frib.msu.edu Bidding eligibility ends November 28, 11:55 PM	[]
3d1460e1f8e5d904	Mann+Hummel	Product Design Engineer II	Portage, MI 49002	CAE	ENTRY_LEVEL	$85,000 - $110,000 a year	"Product Design Engineer II at our location in Portage, Michigan.(North Campus)YOUR RESPONSIBILITIES:Responsible for the design and development of air induction filtration systems for internal combustion enginesConceptualizes complex new product designs, changes, and concepts to meet internal/external product specifications, cost, and timingCommunicates regularly with customers. Maintains a high level of accountability and responsiveness to ""Be Our Customer's First Choice""Works with cross functional teams to evaluate product designs and specifications to determine feasibility while minimizing costs to develop and manufactureWorks with operations to understand process capabilities; makes product design recommendations in-line with production strategiesCoordinates all CAE required to validate product designs analytically. Analyzes results to optimize design for performance, robust manufacturing, and costCollaborates with Testing to establish validation methods and interpret results. Recommends product design changes based on test resultsContinually works with GBTS to complete engineering and CAD tasks. Completes general CAD tasks when necessaryActively participates and supports Kaizen/DLS workshops and annual objectivesCompletes required tasks for each Gate per xSEP processYOUR PROFILE:Minimum Requirements:Bachelor's degree in the field of Mechanical EngineeringMinimum 1 year of relevant work experienceMust be have availability for overnight domestic travel (20%)Position Requirements:Ability to solve technical problemsAbility to organize and manage tasks to meet project deadlinesExperience with Design Failure Mode Effects Analysis (DFMEA)Basic understanding of internal combustion engine systemsPreferred Requirements:NX/Catia/Creo experienceExperience working in the automotive industryPlastics experienceMetal stamping and casting experienceFiltration experienceJob Type: Full-timePay: $85,000.00 - $110,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceEmployee assistance programEmployee discountHealth insuranceLife insuranceTuition reimbursementVision insuranceExperience level:1 yearSchedule:8 hour shiftMonday to FridayAbility to commute/relocate:Portage, MI 49002: Reliably commute or planning to relocate before starting work (Required)Application Question(s):Is your degree in Mechanical Engineering?Education:Bachelor's (Required)Experience:Product Design: 1 year (Preferred)Work Location: In person"	['401(k)', '401(k) matching', 'Dental insurance', 'Employee assistance program', 'Employee discount', 'Health insurance', 'Life insurance']
998a86995992eed7	Inteva Products, LLC	Product Engineer	Troy, MI 48084	CAE	ENTRY_LEVEL	Estimated $68.1K - $86.2K a year	Lead the design and engineering of vehicle interior components / modules.Define design requirements using internal templates.Support integration of components to meet specifications / requirements.Responsible for Design Reviews - Run meetings, track open issues: drive timely issue closure.Participate in build events; develop timely design / engineering solutions to solve issues.Lead technical quotes.Work effectively in a team environment with a cross-functional team: design, tooling, CAE, quality, manufacturing, financial, purchasing, sales.Develop/maintain timing plans.Issue change requests and provide request for quotes (RFQ’s) to Inteva Purchasing.Release math data and drawings to schedule.Establish effective communications (written and verbal) between customer, internal groups and suppliers.Responsible for meeting all financial, quality and performance requirements.Develop and release bill of materials (BoM) in Inteva systems.Generate and implement cost savings ideas.Manage validation activities to project schedule and maintain records.Travel required (up to 15% domestic and international)	[]
2088f34a4425c25b	Mann+Hummel	Product Design Engineer II	Portage, MI	CAE	ENTRY_LEVEL	Estimated $73.2K - $92.6K a year	"Product Design Engineer II Portage, USA | Entwicklung & Design | Berufserfahrene(r) | Unbefristeter Vertrag | November 16, 2023         As worldwide experts in filtration, MANN+HUMMEL develop solutions for vehicles, industrial applications, clean air inside vehicles and the sustainable use of water. With team spirit and an open culture of communication, we are continuously working towards achieving our vision of ‘leadership in filtration’. Become part of our team.            Job Description        Your Challenge    Responsible for the design and development of air induction filtration systems for internal combustion enginesConceptualizes complex new product designs, changes, and concepts to meet internal/external product specifications, cost, and timingCommunicates regularly with customers. Maintains a high level of accountability and responsiveness to ""Be Our Customer's First Choice""Works with cross functional teams to evaluate product designs and specifications to determine feasibility while minimizing costs to develop and manufactureWorks with operations to understand process capabilities; makes product design recommendations in-line with production strategiesCoordinates all CAE required to validate product designs analytically Analyzes results to optimize design for performance, robust manufacturing, and costCollaborates with Testing to establish validation methods and interpret results. Recommends product design changes based on test resultsContinually works with GBTS to complete engineering and CAD tasks Completes general CAD tasks when necessaryActively participates and supports Kaizen/DLS workshops and annual objectivesCompletes required tasks for each Gate per xSEP process    Your Profile    Minimum Requirements:Bachelor's degree in the field of Mechanical EngineeringMinimum 1 year of relevant work experienceMust be have availability for overnight domestic travel (20%)Position Requirements:Ability to solve technical problemsAbility to organize and manage tasks to meet project deadlinesExperience with Design Failure Mode Effects Analysis (DFMEA)Basic understanding of internal combustion engine systemsPreferred Requirements:NX/Catia/Creo experienceExperience working in the automotive industryPlastics experienceMetal stamping and casting experienceFiltration experience         Are you full of ideas? Are you keen to take on responsibility and really achieve something? Then our doors are open to you. This company lives out its values, gives people the freedom to use their own initiative, and offers many development exciting opportunities and many exciting projects – all of which awaits you here.        "	[]
