location	values
Arlington, VA	{'latitude': 38.864458, 'longitude': -77.099638, 'type': 'locality', 'name': 'Arlington', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Virginia', 'region_code': 'VA', 'county': 'Arlington County', 'locality': 'Arlington', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Arlington, VA, USA'}
Atlanta, GA	{'latitude': 33.769805, 'longitude': -84.414581, 'type': 'locality', 'name': 'Atlanta', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Fulton County', 'locality': 'Atlanta', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Atlanta, GA, USA'}
Highland Heights, KY	{'latitude': 39.03711, 'longitude': -84.456707, 'type': 'locality', 'name': 'Highland Heights', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Kentucky', 'region_code': 'KY', 'county': 'Campbell County', 'locality': 'Highland Heights', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Highland Heights, KY, USA'}
Edmeston, NY 13335	{'latitude': 42.70226, 'longitude': -75.248224, 'type': 'postalcode', 'name': '13335', 'number': None, 'postal_code': '13335', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Otsego County', 'locality': 'Edmeston', 'administrative_area': 'Edmeston', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '13335, Edmeston, NY, USA'}
Baltimore, MD 21211	{'latitude': 39.319732, 'longitude': -76.649533, 'type': 'locality', 'name': 'Baltimore', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maryland', 'region_code': 'MD', 'county': 'City of Baltimore', 'locality': 'Baltimore', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Baltimore, MD, USA'}
Huntsville, AL	{'latitude': 34.756007, 'longitude': -86.616034, 'type': 'locality', 'name': 'Huntsville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Alabama', 'region_code': 'AL', 'county': 'Madison County', 'locality': 'Huntsville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Huntsville, AL, USA'}
North Providence, RI 02904 (Valley area)	{'latitude': 35.086149, 'longitude': -80.737507, 'type': 'address', 'name': '2904 Redfield Dr', 'number': '2904', 'postal_code': '28270', 'street': 'Redfield Dr', 'confidence': 1, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Mecklenburg County', 'locality': 'Charlotte', 'administrative_area': None, 'neighbourhood': 'Providence Plantation', 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '2904 Redfield Dr, Charlotte, NC, USA'}
Fort Huachuca, AZ	{'latitude': 31.543723, 'longitude': -110.34861, 'type': 'locality', 'name': 'Fort Huachuca', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Cochise County', 'locality': 'Fort Huachuca', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fort Huachuca, AZ, USA'}
United States	{'latitude': 39.71614, 'longitude': -96.999246, 'type': 'country', 'name': 'United States', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': None, 'region_code': None, 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'United States'}
Boston, MA	{'latitude': 42.355492, 'longitude': -71.048611, 'type': 'locality', 'name': 'Boston', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Suffolk County', 'locality': 'Boston', 'administrative_area': 'Boston', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Boston, MA, USA'}
Birmingham, AL	{'latitude': 33.530651, 'longitude': -86.800929, 'type': 'locality', 'name': 'Birmingham', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Alabama', 'region_code': 'AL', 'county': 'Jefferson County', 'locality': 'Birmingham', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Birmingham, AL, USA'}
Danvers, MA	{'latitude': 42.575945, 'longitude': -70.948732, 'type': 'locality', 'name': 'Danvers', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Essex County', 'locality': 'Danvers', 'administrative_area': 'Danvers', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Danvers, MA, USA'}
Washington, DC 20011 (Catholic University-Brookland area)	{'latitude': 38.952514, 'longitude': -77.022991, 'type': 'postalcode', 'name': '20011', 'number': None, 'postal_code': '20011', 'street': None, 'confidence': 1, 'region': 'District of Columbia', 'region_code': 'DC', 'county': None, 'locality': 'Washington', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '20011, Washington, DC, USA'}
Folsom, CA 95630	{'latitude': 38.676774, 'longitude': -121.152638, 'type': 'locality', 'name': 'Folsom', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Sacramento County', 'locality': 'Folsom', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Folsom, CA, USA'}
St. Louis, MO 63127	{'latitude': 38.633024, 'longitude': -90.244086, 'type': 'locality', 'name': 'St. Louis', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Missouri', 'region_code': 'MO', 'county': 'City of St. Louis', 'locality': 'St. Louis', 'administrative_area': 'St. Louis', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'St. Louis, MO, USA'}
