location	values	latitude	longitude	region	county	locality
Arlington, VA	{'latitude': 38.864458, 'longitude': -77.099638, 'type': 'locality', 'name': 'Arlington', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Virginia', 'region_code': 'VA', 'county': 'Arlington County', 'locality': 'Arlington', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Arlington, VA, USA'}	38.864458	-77.099638	Virginia	Arlington County	Arlington
Atlanta, GA	{'latitude': 33.769805, 'longitude': -84.414581, 'type': 'locality', 'name': 'Atlanta', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Georgia', 'region_code': 'GA', 'county': 'Fulton County', 'locality': 'Atlanta', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Atlanta, GA, USA'}	33.769805	-84.414581	Georgia	Fulton County	Atlanta
Highland Heights, KY	{'latitude': 39.03711, 'longitude': -84.456707, 'type': 'locality', 'name': 'Highland Heights', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Kentucky', 'region_code': 'KY', 'county': 'Campbell County', 'locality': 'Highland Heights', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Highland Heights, KY, USA'}	39.03711	-84.456707	Kentucky	Campbell County	Highland Heights
Edmeston, NY 13335	{'latitude': 42.70226, 'longitude': -75.248224, 'type': 'postalcode', 'name': '13335', 'number': None, 'postal_code': '13335', 'street': None, 'confidence': 1, 'region': 'New York', 'region_code': 'NY', 'county': 'Otsego County', 'locality': 'Edmeston', 'administrative_area': 'Edmeston', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '13335, Edmeston, NY, USA'}	42.70226	-75.248224	New York	Otsego County	Edmeston
Baltimore, MD 21211	{'latitude': 39.319732, 'longitude': -76.649533, 'type': 'locality', 'name': 'Baltimore', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Maryland', 'region_code': 'MD', 'county': 'City of Baltimore', 'locality': 'Baltimore', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Baltimore, MD, USA'}	39.319732	-76.649533	Maryland	City of Baltimore	Baltimore
Huntsville, AL	{'latitude': 34.756007, 'longitude': -86.616034, 'type': 'locality', 'name': 'Huntsville', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Alabama', 'region_code': 'AL', 'county': 'Madison County', 'locality': 'Huntsville', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Huntsville, AL, USA'}	34.756007	-86.616034	Alabama	Madison County	Huntsville
North Providence, RI 02904 (Valley area)	{'latitude': 35.086149, 'longitude': -80.737507, 'type': 'address', 'name': '2904 Redfield Dr', 'number': '2904', 'postal_code': '28270', 'street': 'Redfield Dr', 'confidence': 1, 'region': 'North Carolina', 'region_code': 'NC', 'county': 'Mecklenburg County', 'locality': 'Charlotte', 'administrative_area': None, 'neighbourhood': 'Providence Plantation', 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '2904 Redfield Dr, Charlotte, NC, USA'}	35.086149	-80.737507	North Carolina	Mecklenburg County	Charlotte
Fort Huachuca, AZ	{'latitude': 31.543723, 'longitude': -110.34861, 'type': 'locality', 'name': 'Fort Huachuca', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Cochise County', 'locality': 'Fort Huachuca', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Fort Huachuca, AZ, USA'}	31.543723	-110.34861	Arizona	Cochise County	Fort Huachuca
United States	{'latitude': 39.71614, 'longitude': -96.999246, 'type': 'country', 'name': 'United States', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': None, 'region_code': None, 'county': None, 'locality': None, 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'United States'}	39.71614	-96.999246			
Boston, MA	{'latitude': 42.355492, 'longitude': -71.048611, 'type': 'locality', 'name': 'Boston', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Suffolk County', 'locality': 'Boston', 'administrative_area': 'Boston', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Boston, MA, USA'}	42.355492	-71.048611	Massachusetts	Suffolk County	Boston
Birmingham, AL	{'latitude': 33.530651, 'longitude': -86.800929, 'type': 'locality', 'name': 'Birmingham', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Alabama', 'region_code': 'AL', 'county': 'Jefferson County', 'locality': 'Birmingham', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Birmingham, AL, USA'}	33.530651	-86.800929	Alabama	Jefferson County	Birmingham
Danvers, MA	{'latitude': 42.575945, 'longitude': -70.948732, 'type': 'locality', 'name': 'Danvers', 'number': None, 'postal_code': None, 'street': None, 'confidence': 1, 'region': 'Massachusetts', 'region_code': 'MA', 'county': 'Essex County', 'locality': 'Danvers', 'administrative_area': 'Danvers', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Danvers, MA, USA'}	42.575945	-70.948732	Massachusetts	Essex County	Danvers
Washington, DC 20011 (Catholic University-Brookland area)	{'latitude': 38.952514, 'longitude': -77.022991, 'type': 'postalcode', 'name': '20011', 'number': None, 'postal_code': '20011', 'street': None, 'confidence': 1, 'region': 'District of Columbia', 'region_code': 'DC', 'county': None, 'locality': 'Washington', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '20011, Washington, DC, USA'}	38.952514	-77.022991	District of Columbia		Washington
Folsom, CA 95630	{'latitude': 38.676774, 'longitude': -121.152638, 'type': 'locality', 'name': 'Folsom', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'California', 'region_code': 'CA', 'county': 'Sacramento County', 'locality': 'Folsom', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Folsom, CA, USA'}	38.676774	-121.152638	California	Sacramento County	Folsom
St. Louis, MO 63127	{'latitude': 38.633024, 'longitude': -90.244086, 'type': 'locality', 'name': 'St. Louis', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Missouri', 'region_code': 'MO', 'county': 'City of St. Louis', 'locality': 'St. Louis', 'administrative_area': 'St. Louis', 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'St. Louis, MO, USA'}	38.633024	-90.244086	Missouri	City of St. Louis	St. Louis
Tempe, AZ 85282	{'latitude': 33.403229, 'longitude': -111.923357, 'type': 'locality', 'name': 'Tempe', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Arizona', 'region_code': 'AZ', 'county': 'Maricopa County', 'locality': 'Tempe', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Tempe, AZ, USA'}	33.403229	-111.923357	Arizona	Maricopa County	Tempe
Dallas, TX 75201 (Downtown area)	{'latitude': 32.787758, 'longitude': -96.799425, 'type': 'postalcode', 'name': '75201', 'number': None, 'postal_code': '75201', 'street': None, 'confidence': 1, 'region': 'Texas', 'region_code': 'TX', 'county': 'Dallas County', 'locality': 'Dallas', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': '75201, Dallas, TX, USA'}	32.787758	-96.799425	Texas	Dallas County	Dallas
Edmonds, WA 98026	{'latitude': 47.832029, 'longitude': -122.363733, 'type': 'locality', 'name': 'Edmonds', 'number': None, 'postal_code': None, 'street': None, 'confidence': 0.6, 'region': 'Washington', 'region_code': 'WA', 'county': 'Snohomish County', 'locality': 'Edmonds', 'administrative_area': None, 'neighbourhood': None, 'country': 'United States', 'country_code': 'USA', 'continent': 'North America', 'label': 'Edmonds, WA, USA'}	47.832029	-122.363733	Washington	Snohomish County	Edmonds
