Apple	FEA Engineer	Culver City, CA	FEA	ENTRY_LEVEL	NA
Apple	System FEA Engineer	Culver City, CA	FEA	ENTRY_LEVEL	NA	Summary      Posted: Oct 6, 2023            Role Number:       200509328      Imagine what you can do here! We are committed to pushing the boundaries of innovation and engineering excellence in product designs through simulation. We truly believe in the power of predictive simulation to make the impossible possible, transform industries and improve people’s lives. As a member of the Product Design FEA Methods team, you will use understanding of mechanics, materials and numerical methods to play a pivotal role in predictive engineering and directly impact the success of new iPhone, iPad, Mac, Apple Watch, Vision Pro and many more future products. Come join us and put a dent in the universe!     Key QualificationsStrong knowledge of solid mechanics.Experience in implicit and explicit finite element analysis (FEA).Attention to details and commitment to verification/validation.Self-motivated to identify areas for improvement and drive innovation.Excellent cross-functional collaboration and written and verbal communication.Desire to work in a fast-paced environment with passion for creating groundbreaking products.Preferred experience with Abaqus, ANSA and META.Preferred experience with system level modeling and simulation.Preferred experience with test vs simulation correlation.Preferred experience with the mechanical behavior of materials and constitutive modeling.Description       As a core member of the product design team you will drive the structural design of ground breaking products using predictive system level finite element simulation. Participate in building and running system level models for important design load cases. Interact closely with the cross-functional design team to define new load cases and product level mechanical requirements. Help test, characterize and develop new material models. Close the gaps between simulation and test with highly instrumented tests and rigorous correlation. You will be fully integrated with the product design team from the earliest stages to support ground breaking products.      Education & Experience       M.S. or Ph.D. in Mechanical Engineering, Applied Mechanics, Material Science, or similar discipline.      Additional RequirementsPay & BenefitsAt Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $131,500 and $243,300, and your base pay will depend on your skills, qualifications, experience, and location.  Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.  Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.
Apple	Product Design FEA Engineer	Culver City, CA	FEA	ENTRY_LEVEL	NA	Summary      Posted: Mar 8, 2023            Role Number:       200169799      Help Apple grow the product structural analysis team for iPad, iPhone, Mac, Watch, and many other Apple products. We are responsible for FEA modeling, engineering analysis, & material characterization, along with verification and validation of mechanical simulation models.     Key QualificationsThorough knowledge of Solid Mechanics and Strength of MaterialsPassion for creating innovative, high quality productsOutstanding written and verbal communication skillsDesire to work in a fast-paced environmentDescription       We are fully integrated with the product design team from the earliest stages, analyzing and informing the mechanical design of ground breaking products. As part of our team, you will work with the multi-functional teams within Apple and with outside vendors to characterize the strength of raw materials and components.      Education & Experience       At least MS in Mechanical Engineering, Applied Mechanics, or similar.      Additional RequirementsAdditional Experience in any or all of the following areas would be preferred:Static and dynamic finite element analysis (ideally in handheld/portable/wearable electronic products)FEA software such as Abaqus or similarGood modeling practices including model validation techniquesFailure modeling of different classes of materialsTesting including methods using Digital Image Correlation, Universal Testing Machines, and Dynamic Mechanical AnalysisPay & BenefitsAt Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $131,500 and $243,300, and your base pay will depend on your skills, qualifications, experience, and location.  Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.  Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.
Apple	Safety FEA Engineer	Cupertino, CA	FEA	ENTRY_LEVEL	NA	Summary      Posted: Oct 6, 2023            Role Number:       200509331      Apple Vision Pro is a revolutionary spatial computer that seamlessly blends digital content with your physical space. It will allow us to do the things we love in ways never before possible — all while staying connected to the people around us! The Vision Product Group is a team of passionate engineers who are designing, prototyping, analyzing, and launching the next new product category at Apple. As part of this group, you will have a uniquely rewarding opportunity to craft future products that will delight and inspire millions of people every day. As a Safety FEA Engineer, you will collaborate with a team of product designers and safety experts to develop strategies to deliver products that preform safely during customer use.     Key QualificationsDemonstrated ability in applying Finite Element Analysis to product development.Strong understanding of structural mechanicsA history of driving projects through the entire development life-cycleSuperior communication skills, both spoken and written; strong collaboration skills, and ability to communicate across varied audiencesAbaqus and ANSA software package experience (preferred)Knowledge of injury assessment techniques and understanding of injury biomechanics (preferred)Material modeling experience (preferred)Description       Do you thrive on developing new ideas and seeing them through to production? This role spans the product design cycle from concept development, prototyping and testing. You will perform Finite Element Analyses on designs that you help generate. You will be an advocate for the safety of our designs, using innovative CAE tools that span dummy headforms as well as human body models. Excellent communication skills including preparing slide presentations and participating in working meetings are critical. An ability to drive good safety outcomes for our customers while operating in a space where the state of the art is quickly advancing is critical. This will require exceptional judgement in balancing product attributes. Travel will be less than 10% (domestic and international)      Education & Experience       MS / PhD in Mechanical / Biomedical / Industrial Engineering (or equivalent experience)      Additional RequirementsPay & BenefitsAt Apple, base pay is one part of our total compensation package and is determined within a range. This provides the opportunity to progress as you grow and develop within a role. The base pay range for this role is between $138,900 and $256,500, and your base pay will depend on your skills, qualifications, experience, and location.  Apple employees also have the opportunity to become an Apple shareholder through participation in Apple’s discretionary employee stock programs. Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apple’s Employee Stock Purchase Plan. You’ll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses — including tuition. Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation. Learn more about Apple Benefits.  Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program.
Kls Martin Lp	R&D ENGINEER I	Jacksonville, FL 32246 (Windy Hill area)	FEA	ENTRY_LEVEL	NA	Job Summary The R&D Engineer I is responsible for development of product from concept to commercialization. This includes research, planning, idea creation and realization, concept development, specification generation, maintenance of product designs, testing and validation protocols, as well as effective communication with team members, management, and customers. As project responsibilities increase, the R&D engineer will be expected to provide additional leadership and technical mentoring along with more cross-functional group interaction internally and externally. Participates in product development teams and is responsible for assigned engineering deliverables. Essential Functions, Duties, and Responsibilities Apply mechanical design principles for developing new products. Ability to translate or derive customer requirements into engineering specifications. Ability to write and advise others of product testing requirements. Experience using Solidworks CAD software and MS Office applications. Identify technical requirements of the customer, in collaboration with other team members. Ability to create and check design specifications (models & drawing). Abide by regulatory and internal guidelines for the design and manufacturing of our products. Apply Finite Element Analysis (FEA) to understand device risks and failure modes. Prepare solid models for 3D printing Strong technical writing ability to create protocols, test reports and other documents. Design and execute tests to simulate product use for verifying and validating product performance, reliability, and usability. Understands and applies basic statistical tools to evaluate and derive conclusion from test data or dimensional analysis. Participate in the creation and maintenance of files specific to project assignment. Collaborate and coordinate between multiple departments: production, sales, marketing, and product management. Educational and Experience Requirements BS in Engineering (Mechanical, Bioengineering, Biomedical) or comparable technical/medical field Prior experience with 3D CAD modeling software (Solidworks is preferred) Proficient user of Microsoft Office applications Knowledge, Skills, and Abilities Adhere and support KLS Martins quality and safety policies and procedures Ability to learn new software quickly Ability to retrieve and interpret documentation. Customer support skills Able to work independently under minimal supervision. Able to efficiently communicate and collaborate amongst a team Strong interpersonal skills with the ability to effectively communicate at all levels internally, as well as externally Problem solving and decision making Strong communication skills, both written and orally Critical thinking Adaptability & flexibility Skill Requirements Typing/computer keyboard Utilize computer software (specified above) Retrieve and compile information Maintain records/logs Verify data and information Organize and prioritize information/tasks Operate office equipment Advanced mathematical concepts (fractions, decimals, ratios, percentages, graphs) Verbal communication Written communication Public speaking/group presentations Research, analyze and interpret information Investigate, evaluate, recommend action Leadership and supervisory, managing people Basic mathematical concepts (e.g. add, subtract) Abstract mathematical concepts (interpolation, inference, frequency, reliability, formulas, equations, statistics) Physical Requirements Sitting for extended periods Extended periods viewing computer screen Walking Reading Speaking Hear/Listen Maintain regular, punctual attendance Lifting/carrying up to 20 pounds various items Repetitive Motions Pushing/Pulling Bending/Stooping Reaching/Grasping Writing Hazards Normal office environment All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. KLS Martin is a drug-free employer
Northern Valley Machine	Mechanical Engineer - Click for more information	East Grand Forks, MN 56721	FEA	ENTRY_LEVEL	NA	Team atmosphere. Primary role is Fixture and Automation design using CAD.SolidWorks CAD experience preferred, but not required. Training provided.Engineering analysis on designs, including FEA using SolidWorks Simulation.Provide support for Assembly and Shop personnel.Creo experience a plus.Benefits include:401kExcellent WagesVacation and Holiday BenefitsHealth InsuranceDental InsuranceAir Conditioned ShopMechanical Engineer - Click for more information
EVONA	Mechanical Engineer	Cambridge, MA	FEA	ENTRY_LEVEL	NA	Do you want to use your mechanical design experience to create a better world? This newly formed company has big plans and the interest from industry climate leaders to back it up.  You will be leading the design of cutting-edge subsea robotics to help create this product that uses oceanic data mixed with geo spatial satellites to capture data to help prevent a range of natural disasters to various marine conservation activities, the scope is endless for what they can achieve.  You will use your experience of subsea robotics to solve technical challenges around housing, mechanism, pressures, and unforeseen animal encounters.. who knows what might happen down there.  You will work alongside a cross functional team of innovative engineers who all share a passion for making a difference and a love of the ocean.  This position will suit someone from an R&D background that loves to solve technical problems and create greenfield solutions using CAD/ FEA and similar software to create unique design that solve problems that others haven’t foreseen.  If you would like to find out more please drop your resume to C.farish@evona.com or connect on LinkedIn and drop me a message.  I look forward to talking with you further.
Relativity Space	Propulsion Design Engineer I	Long Beach, CA	FEA	ENTRY_LEVEL	$90,000 - $117,000 a year	Company Overview: A rocket company at the core, Relativity Space is on a mission to become the next great commercial launch company. Meeting the needs of a growing demand for space infrastructure, our rockets will revolutionize how we connect and communicate on Earth by getting satellites to space. We have developed a vertically integrated technology platform in which we leverage additive manufacturing, artificial intelligence, and autonomous robotics to 3D print rockets. Our unique approach enables rapid product iteration, allowing us to push the boundaries of what's possible today and unlock the full potential of 3D printing for tomorrow. Join us on this extraordinary journey, as we work together to transform our vision into reality. Team: This role falls within the Propulsion Integrated Design team, which is part of the Propulsion Engineering organization. Our focus is Relativity’s Aeon-R engine. The Integrated Design team is specifically responsible for the overall engine layout as well as the design/analysis of integration components/hardware. Examples of integration components include topology optimized manifolds, printed ducts, primary/secondary structures, fluids lines, and ancillary components. As part of this team, you will help design, build, and iterate on the full product lifecycle of our Aeon-R engine. You will work across many teams to achieve our ambitious goals and ensure the development success of Aeon-R and Terran R. What you’ll do: You will be responsible for the overall layout, design, analysis, and build of hardware for our Aeon-R propulsion systems. You will work closely with other propulsion teams, the vehicle team, manufacturing/integration teams, and test teams to design, analyze, and optimize. Designs will be informed by both fluid and structural analytical and computational models. Engine assembly level layouts and trades will be weighed against weight, cost, lead time, and part count. To be successful in this role, you should be someone who thrives in ambiguity and is able to lead their own projects to completion. What you need to know:Bachelor's degree in an engineering fieldExperience with computer aided design (CAD) softwareExperience with mechanical designStrong understanding of fluid, thermal, and structural fundamentalsStrong drive to deliver on ambitious schedulesDetail-oriented, organized, exhibit follow through Nice to haves but not required:Experience with Siemens NX and Teamcenter, specificallyExperience with Finite Element Analysis (FEA) and commercial tools such as Ansys, Abaqus, or NastranExperience in the design of liquid propulsion components and systemsFamiliarity with aerospace standards (AS, NAS, SAE, etc.) Relativity Space offers competitive salary and equity, a generous vacation policy, an annual L&D stipend and more! We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.    The below-range represents Relativity Space’s current good-faith pay scale for this role. Relativity Space reserves the right to modify or update this range at any time.     Compensation is only one part of our entire total rewards package. To see some of the benefits & perks we offer, please visit here: https://px.sequoia.com/relativityspace        Hiring Range:        $90,000—$117,000 USD   
Lawrence Livermore National Laboratory	Spacecraft Mechanical Engineers	Livermore, CA	FEA	ENTRY_LEVEL	$106,440 - $136,680 a year	Company Description  Join us and make YOUR mark on the World!  Are you interested in joining some of the brightest talent in the world to strengthen the United States’ security? Come join Lawrence Livermore National Laboratory (LLNL) where our employees apply their expertise to create solutions for BIG ideas that make our world a better place.  We are committed to a diverse and equitable workforce with an inclusive culture that values and celebrates the diversity of our people, talents, ideas, experiences, and perspectives. This is important for continued success of the Laboratory’s mission.  Pay Range  $106,440 - $163,968 Annually  $106,440 - $136,680 Annually for the SES.1 level  $127,680 - $163,968 Annually for the SES.2 level  Please note that the pay range information is a general guideline only. Many factors are taken into consideration when setting starting pay including education, experience, the external labor market, and internal equity.  Job Description  We have multiple openings for Spacecraft Mechanical Engineers to work on projects and initiatives with a focus on U.S. national security. You will be a member of an engineering team that will provide space mission engineering solutions for both national security and basic science investigations with sponsors including NASA, Department of Energy (DOE), Department of Defense (DOD) and other government agencies. As an engineering team member, you will work on all aspects of space system hardware – from design and analysis to assembly, integration and test. This position is in the National Security Engineering Division (NSED) within the Engineering Directorate.  This position will be filled at either level based on knowledge and related experience as assessed by the hiring team. Additional job responsibilities (outlined below) will be assigned if hired at the higher level.  In this role you will  Derive engineering requirements, develop conceptual designs, and perform supporting analyses of mechanical spacecraft systems, test prototypes, and associated diagnostics. Perform the detailed design process of payload components, procure component fabrication, and participate in payload unit assembly activities in the space program’s cleanroom environment. Contribute to spacecraft subsystems design reviews, integrated test planning and execution. Adhere to best practices for space hardware design when considering mission concept of operations (CONOPS), environment and other mission requirements under general direction. Prepare engineering documentation, reports and test plans and contribute directly to payload and/or space vehicle assembly. Collaborate effectively within a team of scientists, engineers, designers, technicians, and procurement personnel to achieve project goals. Perform other duties as assigned.  Additional job responsibilities, at the SES.2 level  Collaborate with technical team to develop technical proposals for spacecraft missions including payload specifications, spacecraft definition, spacecraft subsystem specification, launch and operation design and planning, and system trade studies. Provide solutions to problems of moderate to complexity in mechanical engineering design for spacecraft subsystems from conceptualization, simulation, fabrication, and testing using broadly defined parameters. Qualifications Ability to secure and maintain a U.S. DOE Q-level security clearance which requires U.S. citizenship. Bachelor’s degree in Mechanical Engineering or related field, or the equivalent combination of education and related experience. Fundamental knowledge of two or more of the following: engineering hardware design, systems engineering, manufacturing techniques, testing processes, FEA structural analysis. Knowledge of and/or experience with design principles, material properties and manufacturing methods. Fundamental knowledge of system engineering principles. Experience working effectively as a member of a multidisciplinary project team that may include engineers, scientists, designers, and technicians. Ability to provide solutions for engineering problems that require analysis of several factors. Sufficient verbal and written communication skills necessary to effectively collaborate in a team environment and present and explain technical information to colleagues, management or sponsors.  Additional qualifications at the SES.2  Ability to interpret specifications and mechanical drawings including Geometric Dimensioning & Tolerancing (GD&T). Comprehensive experience and demonstrated track record of success in providing creative solutions to a diverse range of moderately complex multi-disciplinary problems. Experience effectively managing multiple parallel tasks, often requiring the resolution of conflicting work requirements and prioritization of tasks toward predetermined long-range targets.  Qualifications We Desire  Master’s degree or Ph.D. in Mechanical Engineering or related field. Broad experience with aerospace and/or spacecraft engineering, designing, assembling or testing flight hardware. Experience estimating cost and schedule of spacecraft projects. Additional Information  All your information will be kept confidential according to EEO guidelines.  Position Information  This is a Career Indefinite position, open to Lab employees and external candidates.  Why Lawrence Livermore National Laboratory?  Flexible Benefits Package 401(k) Relocation Assistance Education Reimbursement Program Flexible schedules (*depending on project needs) Inclusion, Diversity, Equity and Accountability (IDEA) - visit https://www.llnl.gov/diversity Our core beliefs - visit https://www.llnl.gov/diversity/our-values Employee engagement - visit https://www.llnl.gov/diversity/employee-engagement  Security Clearance  This position requires a Department of Energy (DOE) Q-level clearance. If you are selected, we will initiate a Federal background investigation to determine if you meet eligibility requirements for access to classified information or matter. Also, all L or Q cleared employees are subject to random drug testing. Q-level clearance requires U.S. citizenship.  Pre-Employment Drug Test  External applicant(s) selected for this position must pass a post-offer, pre-employment drug test. This includes testing for use of marijuana as Federal Law applies to us as a Federal Contractor.  How to identify fake job advertisements  Please be aware of recruitment scams where people or entities are misusing the name of Lawrence Livermore National Laboratory (LLNL) to post fake job advertisements. LLNL never extends an offer without a personal interview and will never charge a fee for joining our company. All current job openings are displayed on the Career Page under “Find Your Job” of our website. If you have encountered a job posting or have been approached with a job offer that you suspect may be fraudulent, we strongly recommend you do not respond. To learn more about recruitment scams: https://www.llnl.gov/sites/www/files/2023-05/LLNL-Job-Fraud-Statement-Updated-4.26.23.pdf  Equal Employment Opportunity  We are an equal opportunity employer that is committed to providing all with a work environment free of discrimination and harassment. All qualified applicants will receive consideration for employment without regard to race, color, religion, marital status, national origin, ancestry, sex, sexual orientation, gender identity, disability, medical condition, pregnancy, protected veteran status, age, citizenship, or any other characteristic protected by applicable laws.  We invite you to review the Equal Employment Opportunity posters which include EEO is the Law and Pay Transparency Nondiscrimination Provision.  Reasonable Accommodation  Our goal is to create an accessible and inclusive experience for all candidates applying and interviewing at the Laboratory. If you need a reasonable accommodation during the application or the recruiting process, please use our online form to submit a request.  California Privacy Notice  The California Consumer Privacy Act (CCPA) grants privacy rights to all California residents. The law also entitles job applicants, employees, and non-employee workers to be notified of what personal information LLNL collects and for what purpose. The Employee Privacy Notice can be accessed here.
Actalent	Mechanical Engineer	Melbourne, FL 32901	FEA	ENTRY_LEVEL	$45 - $60 an hour	Description:Work under limited direction of other engineers to research, design, analyze, and develop mechanical components, assemblies, and systems for productsFunctionally own specific mechanical systems and delegate tasksParticipate in issue resolution and develop solutions to technical problems of varying complexity while assuring sound technical content and timely closureDevelop, review, and maintain engineering documents, specifications, and technical analyses necessary to support product build and testing activitiesGenerate and release drawings using CAD softwareWork fluidly as part of multi-disciplinary integrated product teams, reciprocally interacting with other engineers, manufacturing personnel, suppliers, and customersRepresent the organization in design reviews, readiness reviews, and review boardsCollaborate with manufacturing personnel to supervise the build and test of hardwarePerform stress analysis using basic hand calculations and finite element modeling Demonstrated understanding of mechanical engineering fundamentals including structures, mechanisms, materials, and analysis would want someone to be able to mentor junior engineers on the team. Skills & Qualifications:Technical Background in Aerospace and Defense AvionicsExperience with microelectronics and/or integrated photonics packagingAbility to quickly understand missions and customer sets, and drive technical strategiesExperience in technical issue resolution, ability to ensure root cause is identifiedMIL-STD-180 and FEA Ideally looking for SOLIDWORKS, ANSYS, 3D MODELING, ANALYSIS, DRAWINGS, GD&T, THERMAL ANALYSIS, STRUCTURAL ANALYSIS, ELECTRONICS PACKAGING, VPX, HYBRIDS, PHOTONICS, OpenVPX and VITA 48, FIBER OPTIC, OPEN SYSTEMS ARCHITECTURE on the resume! Diversity, Equity & InclusionAt Actalent, diversity and inclusion are a bridge towards the equity and success of our people. DE&I are embedded into our culture through:Hiring diverse talentMaintaining an inclusive environment through persistent self-reflectionBuilding a culture of care, engagement, and recognition with clear outcomesEnsuring growth opportunities for our peopleActalent is an equal opportunity employer.About ActalentActalent connects passion with purpose. We help visionary companies advance their engineering and science initiatives through access to specialized experts that drive scale, innovation, and speed to market. With a network of almost 30,000 engineering and sciences consultants and more than 4,500 clients across the U.S., Canada, Asia, and Europe, Actalent serves many of the Fortune 500. An operating company of Allegis Group, the global leader in talent solutions, Actalent launched as a new specialized engineering and sciences services and workforce solutions brand in 2021.
SpaceX	Development Test Engineer (Starlink)	Redmond, WA (SE Redmond area)	FEA	ENTRY_LEVEL	$95,000 - $115,000 a year	SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today SpaceX is actively developing the technologies to make this possible, with the ultimate goal of enabling human life on Mars. DEVELOPMENT TEST ENGINEER (STARLINK) At SpaceX, we're leveraging our experience in building rockets and spacecraft to deploy Starlink, the world's most advanced broadband internet system. Starlink is the world's largest satellite constellation and is providing fast, reliable internet to 2M+ users worldwide. We design, build, test, and operate all parts of the system – thousands of satellites, consumer receivers that allow users to connect within minutes of unboxing, and the software that brings it all together. We've only begun to scratch the surface of Starlink's potential global impact and are looking for best-in-class engineers to help maximize Starlink's utility for communities and businesses around the globe. The Mechanical Development Test Engineer is responsible for designing, analyzing, and building mechanical test equipment for SpaceX's Starlink program. RESPONSIBILITIES:Design, build and analyze mechanical, thermal, and pressure systems for satellite component and assembly-level testingDesign, build, and activate data acquisition systems and automated control system for satellite test equipmentDevelop test requirements with flight engineering teamPerform structural, vibration, and thermal analysis using hand calculations and FEADesign of piece part and assembly level 3D CAD modelsCreate and modify software applications to run data acquisition and control systemsCreate engineering drawings for part fabrication and inspection using GD&TSupervise system level builds including fabrication, mechanical assembly, and data/control systems by working with technicians and vendorsOperate test stands with great attention to detail (tests have very little margin for error, so attention to detail is a crucial and essential characteristic of a development test engineer)BASIC QUALIFICATIONS:Bachelor's degree in an engineering discipline1+ years of professional experience designing/analyzing mechanical structures and/or electrical control systemsPREFERRED SKILLS AND EXPERIENCE:Experience with the design, build and test of hydraulic, thermal, structural or electromechanical systemsDemonstrated understanding of structural and thermal first principles analysisDemonstrated full-cycle ownership of a hardware project from concept to implementationHands-on experience with testing and data acquisitionExperience using test instrumentation and control components: pressure transducers, thermocouples, RTDs, strain gauges, accelerometers, flow meters, load cells, relays, solenoid valves, and encodersProficiency with Siemens NX, or equivalent 3D modeling softwareProficiency with programming and automation/scripting languages (Python, SQL, Matlab)Hands-on experience with common manufacturing processes and shop machines including mills, lathes, manual and CNCADDITIONAL REQUIREMENTS:Willing to work extended hours and some weekends if neededCOMPENSATION AND BENEFITS: Pay range: Mechanical Engineer/Level I: $95,000.00 - $115,000.00/per year Mechanical Engineer/Level II: $110,000.00 - $130,000.00/per year Your actual level and base salary will be determined on a case-by-case basis and may vary based on the following considerations: job-related knowledge and skills, education, and experience. Base salary is just one part of your total rewards package at SpaceX. You may also be eligible for long-term incentives, in the form of company stock, stock options, or long-term cash awards, as well as potential discretionary bonuses and the ability to purchase additional stock at a discount through an Employee Stock Purchase Plan. You will also receive access to comprehensive medical, vision, and dental coverage, access to a 401(k) retirement plan, short and long-term disability insurance, life insurance, paid parental leave, and various other discounts and perks. You may also accrue 3 weeks of paid vacation and will be eligible for 10 or more paid holidays per year. Exempt employees are eligible for 5 days of sick leave per year." ITAR REQUIREMENTS:To conform to U.S. Government export regulations, applicant must be a (i) U.S. citizen or national, (ii) U.S. lawful, permanent resident (aka green card holder), (iii) Refugee under 8 U.S.C. § 1157, or (iv) Asylee under 8 U.S.C. § 1158, or be eligible to obtain the required authorizations from the U.S. Department of State. Learn more about the ITAR here.SpaceX is an Equal Opportunity Employer; employment with SpaceX is governed on the basis of merit, competence and qualifications and will not be influenced in any manner by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability or any other legally protected status. Applicants wishing to view a copy of SpaceX's Affirmative Action Plan for veterans and individuals with disabilities, or applicants requiring reasonable accommodation to the application/interview process should notify the Human Resources Department at (310) 363-6000.
