Warner Bros. Discovery	Product Manager	Remote	PM	ENTRY_LEVEL	$73,150 - $135,850 a year
Arch Systems, LLC	Product Manager	Remote	PM	ENTRY_LEVEL	From $90,000 a year	Role: Product Manager with Cloud.gov experienceCompany: Arch SystemsType: PermanentLocation: RemoteResponsibilities:Serve as the primary liaison between the government product team and the contractor team.Manage project milestones and deliverables, ensuring alignment with Agile methodologies.Facilitate the use of technologies like ReactJS, Django, and Cloud.gov in project development.Coordinate with cross-functional teams skilled in various technologies including DevSecOps, data science, and machine learning.Implement strong multi-factor authentication processes and ensure compliance with FedRAMP standards.Qualifications:Experience as a Scrum Master, Product Manager, Agile Coach, or similar role.Knowledge of ReactJS, Django, Cloud.gov, and CircleCI.Familiarity with FedRAMP compliance and Terraform for infrastructure provisioning.Strong organizational, leadership, and communication skills.Job Type: Full-timePay: From $90,000.00 per yearSchedule:8 hour shiftExperience:Agile: 1 year (Preferred)Work Location: Remote
Bright Pattern, Inc.	Junior Product Manager	San Francisco, CA	PM	ENTRY_LEVEL	NA	        Join Bright Pattern              Bright Pattern provides the simplest and most powerful AI-powered omnichannel cloud contact center software for innovative companies, growing at over 100% per year and we are looking for stars to join our team!       Junior Product ManagerBright Pattern is looking for our San Francisco Bay Area, CA offices: Junior Product Manager to join our strong professional team in defining software products that address customer business needs in a most effective and efficient way. Key Responsibilities:Capturing customer use casesAnalyzing market environmentKnowing our software in a way to be able to demo any feature at any time and explain why it is needed       Understanding our software implementation and partner APIs enough to design viable solutions       Define solutions so they are easily understood by dev manager, dev and QA engineers, and tech writers        Qualifications and Key Skills:Define things clearly in written EnglishCode in a programming language (at least in scripting languages like javascript, python etc)       Be able to use any APIUnderstand how modern web/SaaS technologies work Ideal Additional SkillsKnowledge of IP telephony is a plusExperience working in Communication industry is a plus Salary and BenefitsCompetitive compensationCorporate stock options401KFast-paced, varied environmentCasual workplaceComprehensive benefits (e.g., medical, dental and vision insurance)Paid lunches two days per week Bright Pattern is a fast-moving cloud software company growing faster than others in the market. You will be in a pivotal role to make a difference and significant contribution to company success as we embark on our next ramp of growth, while working in an exciting, fast-paced startup environment with experienced industry leaders. Ready to join the Bright Pattern Team? !About Bright Pattern Bright Pattern is the highest-rated all-in-one omnichannel contact center platform with the highest ROI and fastest time to deploy in the industry, with over 500 customers in 26 countries. Bright Pattern’s platform allows your business to provide effortless omnichannel conversations across all voice and digital channels (voice, SMS, web chat, email, video chat, messenger apps, and bots) and connects to your business applications seamlessly. Bright Pattern’s Omnichannel Quality Management capabilities also allow your business to monitor the quality of 100% of interactions on every channel. Bright Pattern is the only company in the industry providing a mobile app, Bright Pattern Mobile, that enables Omni-EnterpriseTM CX, allowing customers to connect with any employee in your company across voice and digital channels through their mobile device. The company was founded by a team of industry veterans who pioneered the leading contact center solution and is now delivering an architecture for the future with an advanced cloud-first approach.
Apple	Get Connected: Product Management Roles for Apple Services	Cupertino, CA	PM	ENTRY_LEVEL	NA	Summary      Posted: Dec 16, 2022            Role Number:       200318153      At Apple, we don’t just create products. We create products, services, and experiences that redefine what customers expect and revolutionize entire industries. Join the team that dreams up what’s next, and that does everything necessary to make it happen. Bring your passion, dedication and focus, and help invent the future! We are seeking talented Product Managers to join our services teams, working across our world class apps. If you have a strong track record in consumer services to lead the development of new customer experiences and are someone that brings creativity and humility, product sense and analytical skill, leadership and ability to collaborate, we'd love to invite you to apply to this pipeline. Our Product Managers collaborate with other product managers and cross-functional colleagues across content production, business intelligence, data science, marketing, design, and engineering to drive measurable outcomes for app engagement. Our Product Management roles span across Apple Music, Apple TV+, Sports, Maps and more.     Key QualificationsPassion for building usable, delightful consumer products that innovate rather than imitateConviction to do the right thing for users, with a humbleness to listen and learnCuriosity to know the competitive set and anticipate evolving consumer trendsStrong verbal and written communication skills, with the ability to create and deliver winning presentationsAbility to engage and influence diverse stakeholdersFlexibility to adapt to change and to thrive in a dynamic, discourse-driven environmentExperience with analytics, experimentation, and data storytellingDescription       Define exciting and innovative new features that help customers enjoy our various services across Apple’s ecosystem Develop platform, experience and business model innovations that become the future of our service Understand consumption patterns and user journeys on and off platform to create new, engaging experiences Create product roadmap and pursue alignment across business, engineering, design, and project management Write clear and concise product definitions that capture the vision, goals, and key elements of new offerings Work across many teams at Apple to communicate vision and launch products in the most compelling ways Champion evidence-based strategies to grow adoption and engagement      Education & Experience       BS/BA degree or equivalent working experience      Additional RequirementsThis posting is not for a specific job opening and by submitting your resume you are expressing interest in being contacted about this type of role at Apple in the future.
Amplify Consulting Partners	Associate Product Manager	Bellevue, WA	PM	ENTRY_LEVEL	$50,000 - $65,000 a year	ABOUT THE COMPANY Amplify Consulting Partners is a data-first consulting company trusted by Fortune 500 businesses to deliver high-impact professional services across the technology ecosystem—from data engineering and visual analytics to data-driven marketing and program management. We build and empower high-performing people by promoting growth and connection across our company culture. We don't just hang core values on the wall, we make every decision with them in mind—developing trusted, long-term relationships on a foundation of transparency and accountability. DEI STATEMENT We hold ourselves accountable for creating an authentic workplace where every person feels heard and experiences a sense of belonging. We believe that organizations can be an instrument for positive human impact when they champion a diverse, inclusive, and equitable environment. We do this at Amplify by enacting programs and policies that promote DEI—and with humility, if we miss the mark, we rigorously amend our practices to better achieve our targeted outcomes.  Simply put, we turn our words into action.  ABOUT THIS TEAM  The Mobile App team is responsible for delivering customer experiences on the mobile app of a large retail organization. We create exciting mobile experiences that drive exciting opportunities for our customers to locate, view, select and ultimately purchase their favorite products through our mobile app.  You'll partner closely with the Content teams, specifically, along with other product managers, developers, analytics enablement teams, digital optimization, CRM and guest support partners to deliver comprehensive experiences to the customer on the mobile app. You will create and clearly communicate your vision and goals for the content focused mobile app experiences, and reflect this in a roadmap strategy with clear milestones and deliverables while fostering strong relationships across the organization to successfully meet your objectives.  CORE RESPONSIBILITIESCreation of 2+ year roadmap, including strategy, prioritizing, and sequencingClose tracking and analysis of OKRs and strategically aligned metrics (in collaboration with data analyst)Cross-functional stakeholder engagement & needs analysisSupport storytelling presentations that will be delivered to senior leadership to enroll them in new features and opportunities for the teamCollaboration with the Program Managers, Development teams, Product Managers, Scrum Masters, and BAs on the teamsEXPERIENCEDriven and self-motivated - this is a pioneering role that cannot wait for instructionClear communicator - able to communicate clearly and concisely in various formats (Teams, Email, PPT, or oral)Storytelling ability - can paint a compelling vision of the future to stakeholdersCritical thinking – can connect several parallel items to solve problemsProduct Management, Product Owner, or Business Analyst experience, preferredEcommerce and/or Retail, preferredAgile software development (ADO, Jira, Asana, etc.), preferredDiscovery and workshop facilitation, preferredExperience in large scale retail with physical and digital presence (i.e. Nike, Adidas, Gap, Best Buy, Target), preferredPlease note that we unfortunately cannot provide sponsorship at this time. SALARY AND BENEFIT HIGHLIGHTS At Amplify we take a holistic approach to total rewards in order to invest in the satisfaction and success of our employees both now and in the future. We consider the whole person and want to support our employees in living full lives both personally and professionally. The following is an overview of what you’ll get as a member of our team. We consider a variety of factors when making compensation decisions and do not hire employees at the highest point of the pay range, targeting around the 50th percentile of the range. We share this to ensure transparency and set expectations for those considering opportunities with us. As you excel at Amplify, there is potential for salary increases and promotions. If you were to remain in this role, there is earning potential for this level of $75,000. The beginning salary range for this role is $50,000-$65,000 a year.Remote friendlyFlexible time off (time to recharge when you need it!)11 observed holidaysMedical/dental/vision – employee is covered at 100%, dependents are subsidizedParental leave, short-term disability, long-term disability, and life insurance options‘Amplify You’ program – $1,000 annually for your own development or investment in well-being after one yearStudent loan payback programMentorship and training opportunitiesBusiness and employee referral bonus opportunitiesOUR HIRING PRACTICES At Amplify, all qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. We are committed to creating a diverse and welcoming workplace that includes all employees with diverse backgrounds and experiences. We believe it enables us to better meet our mission and values while serving clients throughout our communities. People of color, women, LGBTQIA+, veterans, and persons with disabilities are encouraged to apply. Qualified applicants with criminal histories will be considered for employment in a manner consistent with all federal state and local ordinances. Amplify is committed to offering reasonable accommodation to job applicants with disabilities. If you need assistance or accommodation due to a disability, please contact us at HR@amplifycp.com.
Agero	Product Manager	Remote in Phoenix, AZ	PM	ENTRY_LEVEL	NA	About Agero:Wherever drivers go, we're leading the way. Agero's mission is to rethink the vehicle ownership experience through a powerful combination of passionate people and data-driven technology, strengthening our clients' relationships with their customers. As the #1 B2B, white-label provider of digital driver assistance services, we're pushing the industry in a new direction, taking manual processes, and redefining them as digital, transparent, and connected. This includes: an industry-leading dispatch management platform powered by Swoop; comprehensive accident management services; knowledgeable consumer affairs and connected vehicle capabilities; and a growing marketplace of services, discounts and support enabled by a robust partner ecosystem. The company has over 150 million vehicle coverage points in partnership with leading automobile manufacturers, insurance carriers and many others. Managing one of the largest national networks of service providers, Agero responds to approximately 12 million service events annually. Agero, a member company of The Cross Country Group, is headquartered in Medford, Mass., with operations throughout North America. To learn more, visit www.agero.com. About MBSi (An Agero Company) MBSi connects lenders, forwarders and recovery agencies with web-based and mobile app software to complete the repossession process in real-time while meeting industry compliance standards. Our software platform, RecoveryConnect, is the only repossession assignment platform in the market that seamlessly integrates recovery case management, data-driven automation, mobile technology, compliance solutions, and all industry participants, into a single platform that brings our customers the most advanced technology to manage asset recovery cases efficiently and securely from open to close. Because MBSi's platform is used by well over 95% of all industry participants, including being directly integrated with all the national forwarders, MBSi provides a single point of entry to manage the entire recovery process. Throughout the entire recovery process, RecoveryConnect provides full transparency into the direct and indirect vendors who are performing repossessions, ensuring all parties have the tools and information to conduct fully compliant and efficient repossession operations. Role Description and Mission: Leads and drives the successful launch of sophisticated data product initiatives, demonstrating a proven track record of delivering high-quality products on time and within budget. Possesses expertise in crafting and implementing effective go-to-market strategies. Takes ownership of the entire product lifecycle, from initial ideation to launch and beyond. Proactively engages in identifying and assessing potential business or technology partnerships, conducting thorough due diligence. Effectively collaborates with both technical and non-technical stakeholders, gathering and prioritizing product and customer requirements. Demonstrates a keen understanding of the competitive landscape and industry trends. Develops compelling business cases and strategies, aligning them with market demands. Collaborates closely with engineering, sales, marketing, and support teams to ensure seamless coordination and achievement of revenue and customer satisfaction objectives. Excels in building strong partnerships across various functions to drive the overall success of data product initiatives. Key Outcomes:Communicate regularly with key internal and external constituentsForm product hypotheses, design test plans, and communicate learnings back into product developmentContinuously prioritize and manage the backlog and upcoming sprintsPerform product demos to internal associates and clients as neededDefine methods and metrics for identifying success and failure, and iterate quicklySkills, Education and Experience:5-8+ years of experience in a technical product management roleExposure or experience in product marketing preferredAnalytical ability to unpack complex problems, synthesize data, and identify root issuesCan manage multiple projects simultaneously, handle a fast-paced startup environment, meet deadlines, and manage changing prioritiesFluent in agile development methodologies and tools (e.g JIRA)Hiring In:United States: AZ, FL, TN, CA, MA #LI-REMOTE D, E & I Mission & Culture at Agero: We are all Change Drivers at Agero. Each day, we speak to thousands of drivers and tow professionals across one of the most diverse countries in the world. Our mission to safeguard drivers on the road, strengthen our clients' relationships with their drivers, and support the communities we live and work in unites us together as one force driving positive change. The road to positive change starts inside Agero. In celebrating each other's differences, we lift each other up and create space for innovation and community. Bringing our whole selves to work powers our commitment, drive, agility, and courage - ensuring we are not only changing the landscape of the driver services industry, we also are making a difference in the lives of our customers with each call, chat, and rescue. THIS DESCRIPTION IS NOT INTENDED TO BE A COMPLETE STATEMENT OF JOB CONTENT, RATHER TO ACT AS A GUIDE TO THE ESSENTIAL FUNCTIONS PERFORMED. MANAGEMENT RETAINS THE DISCRETION TO ADD TO OR CHANGE THE DUTIES OF THE POSITION AT ANY TIME. To review Agero's privacy policy click the link: https://www.agero.com/privacy. ***Disclaimer: Agero is committed to creating a diverse and inclusive environment and encourages applications from all qualified candidates. Accommodation is available. Additionally, we offer accommodation for applicants with disabilities in our recruitment processes. If you require accommodation during the recruitment process, please contact recruiting@agero.com
Darwin Homes	Associate Product Manager, Accounting	Remote	PM	ENTRY_LEVEL	$80,000 - $100,000 a year	About Darwin Homes At Darwin Homes, we fundamentally believe that the rental experience is broken. Too often, property management—serving as the middleman between investors and residents—often means shoddy service, hidden fees, and inefficient processes that shortchange everybody involved. Darwin was built to make residents' and owners' lives easier through an innovative ecosystem of technologies. We have created the best product in the market for residents to discover, tour and lease their future home; and for owners to have complete peace of mind from our modern management and leasing services built around our core values of transparency and professionalism. Darwin Homes is the destination for single-family rental services for property owners and residents.  The Team The Darwin Homes team is composed of a diverse set of alumni from DoorDash, Square, Facebook, Apple, LinkedIn and other top technology companies. The founders and executive team have over 30+ years of combined experience in scaling disruptive technology and operations-focused businesses.  Darwin Homes was backed by top Silicon Valley venture capital (Khosla, Fifth Wall) and was acquired by Pagaya Technologies, a publicly traded company, in early 2023. Pagaya is an AI/ML data technology company with offices in Tel Aviv, New York and Austin.  The Role As a member of Darwin's product management team, you will assist in leading the development of an ecosystem of products and reports that are changing the way we invest and rent single family homes today. You will manage projects allowing you to develop a deep empathy and understanding of our users and their problems (Owners, residents, vendors, accountants, property managers).  Who You Are Loves Darwin's mission of modernizing the antiquated experience of investing and renting Thrives while leading in a fast paced, regularly changing environment You turn chaos into order. People look to you for guidance when faced with challenges Is most comfortable when there’s too much to do. You aren’t easily overwhelmed and you prioritize tasks naturally. You’re not afraid to focus on one thing at a time when it’s needed Has high dynamic range. You are able to see the big picture but comfortable diving deep into the details. You’re not above rolling up your sleeves and doing the grunt work Loves great products. You are excited by thoughtful design and you appreciate attention to detail and fine craft Shows confidence and humility. You’re able to make fast decisions with the wisdom to change course as soon as it’s needed Is able to collaborate with a diverse group of individuals. You naturally communicate context and you demonstrate strong reasoning behind decisions What You'll Do Work with product, engineering, design and ops partners to execute a prioritized roadmap of accounting and reporting features Assist with accelerating the growth and engagement of Darwin's business units Understand and monitor product-level KPIs, iterating post-launch to drive greater impact Document decisions to allow for broader company learning and iteration opportunities What You'll Have 1-3 years of financial accounting reporting experience 1-3 years of product management or adjacent experience A deep understanding and empathy of the challenges faced by an accounting team Comfortable with business analysis and making data informed decisions A track record of working well with teams and delivering great business results Exceptional communication and presentation skills
AppMakersLA	Software Project and Product Manager (USA & Canada only.)	Remote	PM	ENTRY_LEVEL	NA	Were a hybrid dev-firm/startup incubator that half builds incredible software for incredible clients (ranging from entrepreneurial NFL players with a dream to booming enterprises) and half builds and incubates it's own startup ideas.Looking for an incredible, detail oriented, motivated PM. Job will include interfacing with clients to collect specifications, coordinating with designers to build wireframes and overseeing our engineering & QA efforts through our agile sprint cycles until release.If you're interested, please fill out the below questionnaire and shoot us a message on your availability.https://docs.google.com/forms/d/1jKRb3tDsjZa6vJAM2gT5KnR6l_3KPEyFKY9HpONkInY/editJob Types: Full-time, ContractPay: $60.00 - $85.00 per hourWork Location: Remote
DICK'S Sporting Goods	Product Manager I - Payments	Lafayette, LA 70508	PM	ENTRY_LEVEL	$67,100 - $109,000 a year	At DICK’S Sporting Goods, we believe in how positively sports can change lives. On our team, everyone plays a critical role in creating confidence and excitement by personally equipping all athletes to achieve their dreams. We are committed to creating an inclusive and diverse workforce, reflecting the communities we serve. If you are ready to make a difference as part of the world’s greatest sports team, apply to join our team today!OVERVIEW:Welcome to Product Management at DICK’S Sporting Goods, where we specialize in delivering retail excellence along every aspect of the customer journey.Our mission focuses on crafting intuitive, easy-to-use products that span across our business. We are looking for a new team member who can bring product-market viability ideas that inspire, innovate and deliver elevated experiences for our customers and products.The Payments product team provides seamless capabilities across eCommerce and Stores that allow athletes to purchase products and services from Dick Sporting Goods using a variety of tenders and methods. Furthermore, the Payment product enables and drives a variety of loyalty and marketing strategies, such as Dick's Sporting Goods credit card, special and promotional financing, gift cards, digital wallets, and more. Hence, the Payments product is foundational to the purchasing experience while also working across many business functions to drive a strategic roadmap and backlog of next-generation payment capabilities.As a Product Manager I, you will work closely with other product managers, product designers and software engineers to deliver products and services that align to strategic priorities as well as achieve product-market fit. You will be an active participant in the organization and deliver high-quality products through the following:Data-Driven Decisions You will report on the established metrics and measurements within your product domain. Looking for patterns and trends in the data to help inform future iterations of the roadmap and feature enhancements.Testing and Research Lean experimentation is a core value within a product team. You will aid in the execution of A/B tests, prototypes or research, continually refining the product until the desired outcome is achieved.Delivery Part of the job is to manage the backlog. You will create effective user stories as well as lead backlog prioritization and management; performing testing of product features with engineers to ensure acceptance criteria is met, capture bugs and work towards defect resolution.Issue Triage As the Product Manager I on a product team you will act as a conduit between the customer and team to triage reported issues and coordinate resolution. You will report on issues, customer and business impact as well as help identify potential solutions.Team Collaboration Working as a team is essential for success! You will actively participate in stand ups, planning sessions, demos and retrospectives with your team on a weekly basis.This is a fully remote position. This role is not eligible for immigration sponsorship.Job Duties & ResponsibilitiesExecution – How you support and provide oversight to the design and delivery of solutions to our customersDeliver Products/FeaturesIdentifies and mitigate dependencies across teams/stakeholder impacting releases or shipping Collaboratively builds the User Story map and corresponding user stories/acceptance criteria Identifies and communicates risks associated with shipping features Scopes and prioritizes tasks assigned in the backlog based on iteration goals and capacity Writes and refines user stories to articulate work to be done by software engineering that support outcome delivery Works closely with software engineering to ensure delivery of products map to customer experience and business requirements within needed timelines Performs validation for production releases, bug fixes and feature requests Troubleshoots defects, participates in root cause analysis and finds solutions for resolution Tasked with key projects and provides support to the product team as needed Works on specific features, improving them and creating new ones upon instruction Participates in Agile ceremonies, including planning, grooming, demos and retrospectives Form & Track KPIs/MetricsGathers data and conducts research to inform product trends Reviews customer feedback mechanisms to identify trends and patterns Creates and presents reports on findings, defects, improvements, statuses and risk management Uses decision support tools to weigh the competing factors for prioritization of backlog Identify OpportunitiesUses data to identify customer pain points Uses evidence-based influencing skills Contributes to team discovery efforts Participates in sessions to identify the right problems QUALIFICATIONS:A foundational understanding of Product Management Understanding of product lifecycle Knowledge of human-centered design principles Understanding of software development lifecycle Ability to balance business objectives and customer needs A customer-centric view into developing great product experiences and the ability to advocate on a customer’s behalf A foundational understanding of Scrum and Agile Strong written and verbal communication skills Strong deductive reasoning skills A curious attitude and desire to learn Ability to collaborate with various peer groups Targeted Pay Range: $67,100 – $109,000. This is part of a competitive total rewards package that could include other components such as: incentive, equity and benefits. Individual pay is determined by a number of factors including experience, location, internal pay equity, and other relevant business considerations. We review all teammate pay regularly to ensure competitive and equitable pay. We also offer a generous suite of benefits. To learn more, visit www.benefityourliferesources.com.
Gamingtec	Poker Product Manager	Remote	PM	ENTRY_LEVEL	NA	Poker Product Manager Bring in your Product Management expertise to assist in developing Poker products. The position can be performed fully remotely.      Remote Kyiv London Limassol Tbilisi   Are you ready to help develop Poker products? We are looking for an experienced Product Manager to take over the management of the Poker business within our products. All you need is:Previous experience in product management, particularly in the Poker industry, is highly desirable;A deep understanding of poker rules, strategies, and gameplay is crucial for effectively managing an online poker product. Personal experience playing poker, especially at a competitive level, can be advantageous;Proficiency in technology and digital platforms related to online gaming;Familiarity with software development processes, and UI/UX design principles;Excellent written and verbal communication skills for collaborating with cross-functional teams, presenting product plans, and explaining complex concepts to both technical and non-technical stakeholders;Strong analytical thinking and problem-solving skills to assess user feedback, data metrics, and market trends to iteratively improve the product;A genuine passion for poker.Your daily adventures will look like:Developing a roadmap for launching a Poker product;Communicating with the software provider;Full management of the poker direction: organization and planning of tournaments, analysis of results;Conducting market research, analyzing industry trends, and identifying opportunities for product innovation and growth;Managing everything related to the day-to-day operations of the Poker product.So, why Gamingtec? If you are a person with passion, ideas, and a thirst to advance your career, you will love our corporate culture. We are an international team that treats each other with respect and moves towards the same goals. We believe in freedom and flexibility and trust our employees to do their jobs in a way that works for them. We have an ambitious and rewarding work environment, a flat organisational structure and almost zero bureaucracy. Our employees’ ideas are what move the company forward. Everyone has equal opportunities in every aspect of work, learning and development! Why you will love working here:Being a part of an international team, where everyone treats each other with respect and moves towards the same goal;Freedom and responsibility. You do not need to be told what to do;Competitive salaries. We want only the top performers, so we offer the appropriate remuneration for their experience and knowledge;Fully remote work. If you are in one of the areas where one of our offices is located, you will also have the option to go to the office;Flexible work schedule. We do not track time, we measure performance;Unlimited paid vacation and sick leave days. We believe that everyone should have a good work-life balance and no one should burn out;Constant career development & learning opportunities! Enjoy the corporate atmosphere with awesome parties and team-building events throughout the year;Refer your friends and get rewarded with a bonus, after they pass their probation period;Find the right private medical insurance that works for you and receive compensation for it. Compensation (full/partial) depends on the cost;Flexible Benefits plan. Decide which of your activities/expenses you want the company to compensate you for. For example; gym subscription, language courses, Netflix subscription, a spa day, etc;Education foundation in learning something new. Be part of our biannual ruffle that gives you the chance to learn something new, unrelated to your job.And this is how our interview process goes:A 30-minute interview with a member of our HR team to get to know you and your experience;Final 2-hour interview with 4 team members to gauge your fit with our culture and working style.Sounds interesting? Do not hesitate to apply or contact us if you have any questions! Gamingtec is waiting for you! Advantages of Our CompanyZero bureaucracyUnlimited holidaysMedical insuranceOnly top talent and top salariesChallenging projects and tasksSmartest colleagues in the industryOur PrinciplesCelebrate diversityCelebrate diversityInnovation mattersInnovation mattersAmbitious goalsAmbitious goalsContact us We are always on the lookout for passionate clients and new talents to join us. info@gamingtec.com
Arcadia.io	Product Manager	Remote	PM	ENTRY_LEVEL	NA	Arcadia is dedicated to happier, healthier days for all. We transform diverse data into a unified fabric for health. Our platform delivers actionable insights for our customers to advance care and research, drive strategic growth, and achieve financial success. For more information, visit arcadia.io. Why This Role Is Important To Arcadia Arcadia’s Product Management team is seeking a motivated, analytical, and creative Product Managers join our team and help support the team in driving innovation and success at Arcadia.   We are an extremely fast-growing company with a growing product team to support our growth. We are a culture of relentless problem solvers who are excited to be taking on some of the most challenging problems in healthcare. As a part of that culture, you will get to use your creativity to address challenges and opportunities for our customers through the products you manage.      This team and this company are in the midst of solving one of the most important problems of our time. If that challenge speaks to your passionate side and the idea of being in the trenches with us fuels the fire inside you, join us. We’re making healthcare smarter, more efficient and straight up better.   Arcadia’s applications are used by thousands of physicians, nurses and support staff across the country – designed with the explicit purpose of improving outcomes for millions of patients and reducing the cost of healthcare nationally. As the dynamic space of population health continues to rapidly evolve, we need a product manager ready and excited to be involved in delivering transformative products to our customers.   What Success Looks Like In 3 monthsLearn the Arcadia product suite and their value story for our internal stakeholders and external customers as well as how they contribute to Arcadia’s overarching vision and strategyParticipate in and support backlog grooming sessions and requirements refinement for product features and enhancements to understand the Arcadia SDLC and help drive deliveryUnderstand the team structures of Arcadia and how our internal organizations partner to drive customer outcomes and success in value-based careEngage in one or more focused projects to support other Product team members in roadmap refinement, R&D, or other continuous improvement needs In 6 monthsContinue work on focused projects across the Arcadia product suite to continue your exposure and develop your understanding of customer challenges and Arcadia solutionsDevelop dedicated expertise in at least one product and begin supporting SDLC activities for the teams developing and evolving those product(s)Take ownership of requirements definition for specific features or enhancements in the product roadmap to support the Product ManagerAct as a point-of-contact and subject matter expert for team members or internal partners seeking information, and propose updates and clarifications to documentation to enable self-serviceShadow customer discussions and stakeholder councils to build familiarity both with our customer engagement and with how needs are translated into deliverables In 12 monthsPropose, initiate, and implement focused projects to drive continuous improvement for Arcadia and the Product teamOwn requirements definition for features or enhancements, partnering directly with engineering tech leads and architects to refine and deconstruct workProactively identify challenges, opportunities, and blockers in the roadmap and backlogs of the product(s) you support and develop a strong instinct for when to escalateExhibit the ability to lead through influence and act as a role model and mentor to more junior team membersWhat You'll Be Doing Facilitate agile ceremonies. Participate in the daily scrums, sprint planning meetings, sprint reviews and retrospectives. Track and deliver key performance indicators to support company OKRs Support and collaborate with the data engineering team and cross-functional partners to build a streamlined end-to-end data transformation process across a diverse data platform Be a driving force for connecting our data platform with value added solutions ranging from incorporating new data streams, improving existing data connectors, data quality, and risk adjustment model insights. Ensure we are using industry best practices and approaches for platform workflow automation at scale Contribute to a prioritized, long-term roadmap for key components of the Arcadia platformWhat You'll Bring At least 1 year working in a Product Management role and at least 1 year experience working on a team that has worked with clinicians Exposure to healthcare providers and behavior change for clinical workflows Would Love For You To Have SMART on FHIR exposure Clinical decision support experience risk adjustment or quality/care gap closure program experienceWhat You'll Get Be a part of a mission driven company that is transforming the healthcare industry by changing the way patients receive care A flexible, remote friendly company with personality and heart Employee driven programs and initiatives for personal and professional development Be a member of the Arcadian and Barkadian Community Competitive compensation and amazing benefits including unlimited FTO (~22 day company average)About Arcadia    Arcadia.io helps innovative healthcare systems and health plans around the country transform healthcare to reduce cost while improving patient health. We do this by aggregating massive amounts of clinical and claims data, applying algorithms to identify opportunities to provide better patient care, and making those opportunities actionable by physicians at the point of care in near-real time. We are passionate about helping our customers drive meaningful outcomes. We are growing fast and have emerged as the market leader in the highly competitive population health management software and value-based care services markets, and we have been recognized by industry analysts KLAS, IDC, Forrester and Chilmark for our leadership. For a better sense of our brand and products, please explore our website, our online resources, and our interactive Data Gallery.   This position is responsible for following all Security policies and procedures in order to protect all PHI under Arcadia's custodianship as well as Arcadia Intellectual Properties. For any security-specific roles, the responsibilities would be further defined by the hiring manager.
