job title,agency,department,location,salary,search_keyword,extracted_salary
Business Analyst,Bonneville Power Administration,Department of Energy,"Portland, Oregon
                    Portland, Oregon","Starting at $88,860 Per Year (GS 12)",Business Analyst,88860
Business Analyst,Bonneville Power Administration,Department of Energy,"Portland, Oregon
                    Portland, Oregon","Starting at $88,860 Per Year (GS 12)",Business Analyst,88860
Business Analyst,Bonneville Power Administration,Department of Energy,"Portland, Oregon
                    Portland, Oregon","Starting at $105,666 Per Year (GS 13)",Business Analyst,105666
BUSINESS ANALYST,U.S. Marine Corps,Department of the Navy,"Fort Meade, Maryland
                    Fort Meade, Maryland","Starting at $94,199 Per Year (GG 12)",Business Analyst,94199
Lead Business Cost Analyst,Department of Energy - Agency Wide,Department of Energy,Anywhere in the U.S. (remote job),"Starting at $116,393 Per Year (GS 14)",Business Analyst,116393
Digital Business Analyst,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Digital Business Analyst,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Business Financial Analyst,Architect of the Capitol,Legislative Branch,"Washington DC, District of Columbia
                    Washington DC, District of Columbia","Starting at $94,199 Per Year (GS 12-13)",Business Analyst,94199
Digital Business Analyst (12 Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $111,521 Per Year (GS 14)",Business Analyst,111521
Supervisory Business Management Analyst,National Park Service,Department of the Interior,"San Francisco, California
                    San Francisco, California","Starting at $121,873 Per Year (GS 13)",Business Analyst,121873
Digital Business Analyst (12 Month Register),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $111,521 Per Year (GS 14)",Business Analyst,111521
Procurement Analyst,U.S. Army Contracting Command,Department of the Army,"Redstone Arsenal, Alabama
                    Redstone Arsenal, Alabama","Starting at $102,267 Per Year (GS 13)",Business Analyst,102267
Management and Program Analyst,Federal Highway Administration,Department of Transportation,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13-14)",Business Analyst,112015
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"North Charleston, South Carolina
                    North Charleston, South Carolina","Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Construction Analyst,Small Business Administration,Other Agencies and Independent Organizations,"Location Negotiable After Selection,","Starting at $40,082 Per Year (GS 7)",Business Analyst,40082
Construction Analyst,Small Business Administration,Other Agencies and Independent Organizations,"Location Negotiable After Selection,","Starting at $40,082 Per Year (GS 9-11)",Business Analyst,40082
Program Analyst-Telehealth,Veterans Health Administration,Department of Veterans Affairs,"Prescott, Arizona
                    Prescott, Arizona","Starting at $46,696 Per Year (GS 7-9)",Business Analyst,46696
"Senior IT Specialist (Policy/Planning), CG-2210-14",Federal Deposit Insurance Corporation,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $136,582 Per Year (CG 14)",Business Analyst,136582
"Senior IT Specialist (Policy/Planning), CG-2210-14",Federal Deposit Insurance Corporation,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $136,582 Per Year (CG 14)",Business Analyst,136582
Program Analyst (Recovery Coordinator),Small Business Administration,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $84,546 Per Year (GS 13)",Business Analyst,84546
Program Analyst (Recovery Coordinator),Small Business Administration,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $84,546 Per Year (GS 13)",Business Analyst,84546
Program Analyst (Recovery Coordinator),Small Business Administration,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $84,546 Per Year (GS 13)",Business Analyst,84546
Program Analyst (Recovery Coordinator),Small Business Administration,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $84,546 Per Year (GS 13)",Business Analyst,84546
Program Analyst (Recovery Coordinator),Small Business Administration,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $84,546 Per Year (GS 13)",Business Analyst,84546
Program Analyst (Recovery Coordinator),Small Business Administration,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $84,546 Per Year (GS 13)",Business Analyst,84546
GENERAL BUSINESS & INDUSTRIAL SPEC,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $57,118 Per Year (GS 9-11)",Business Analyst,57118
GENERAL BUSINESS & INDUSTRIAL SPEC,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Business Analyst,82830
Program Analyst,U.S. Army Communications Electronics Command,Department of the Army,"Fort Huachuca, Arizona
                    Fort Huachuca, Arizona","Starting at $100,102 Per Year (GS 13)",Business Analyst,100102
Operations Research Analyst (6 Month Register),Defense Logistics Agency,Department of Defense,Multiple Locations,"Starting at $59,510 Per Year (GS 9-12)",Business Analyst,59510
Supervisory Management and Program Analyst,Citizenship and Immigration Services,Department of Homeland Security,Anywhere in the U.S. (remote job),"Starting at $155,700 Per Year (GS 15)",Business Analyst,155700
Contract Administration Analyst,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $74,137 Per Year (GS 11-12)",Business Analyst,74137
RISK ASSESSMENT ANALYST,Farm Production and Conservation (FPAC) Business Center,Department of Agriculture,Anywhere in the U.S. (remote job),"Starting at $84,546 Per Year (GS 13)",Business Analyst,84546
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $82,830 Per Year (GS 12)",Business Analyst,82830
Program Analyst,Federal Acquisition Service,General Services Administration,Anywhere in the U.S. (remote job),"Starting at $82,830 Per Year (GS 12-13)",Business Analyst,82830
"National Bank Examiner (Analyst to Associate Deputy Comptroller), NB-0570-NB-VI",Office of the Comptroller of the Currency,Department of the Treasury,"Chicago, Illinois
                    Chicago, Illinois","Starting at $102,355 Per Year (NB 6)",Business Analyst,102355
Acquisition Analyst,U.S. Army Acquisition Support Center,Department of the Army,"Redstone Arsenal, Alabama
                    Redstone Arsenal, Alabama","Starting at $86,001 Per Year (NH 3)",Business Analyst,86001
IT Specialist (APPSW),U.S. Army Space and Missile Defense Command/U. S. Army Forces Strategic Command,Department of the Army,"Redstone Arsenal, Alabama
                    Redstone Arsenal, Alabama","Starting at $86,001 Per Year (NH 3)",Business Analyst,86001
Program Analyst (Capability Developer),United States Army Futures Command,Department of the Army,"Fort Sam Houston, Texas
                    Fort Sam Houston, Texas","Starting at $83,897 Per Year (GS 12)",Business Analyst,83897
Experimentation Plans Analyst,United States Army Futures Command,Department of the Army,"Austin, Texas
                    Austin, Texas","Starting at $119,290 Per Year (GS 14)",Business Analyst,119290
Program Analyst - BIL,Federal Railroad Administration,Department of Transportation,"Location Negotiable After Selection,","Starting at $82,830 Per Year (GS 12)",Business Analyst,82830
Interdisciplinary,United States Army Futures Command,Department of the Army,"Austin, Texas
                    Austin, Texas","Starting at $119,290 Per Year (GS 14)",Business Analyst,119290
GENERAL BUSINESS & INDUSTRIAL SPECIALIST,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $37,696 Per Year (GS 5-7)",Business Analyst,37696
Contract Support Specialist (Sr. Contracting Officer's Rep.) (12-month Roster) AMENDED,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst,98496
Management and Program Assistant (NTE 1 YR MBMP),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $46,696 Per Year (GS 7)",Business Analyst,46696
Management and Program Assistant (Office Automation) 12-MONTH ROSTER,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $46,696 Per Year (GS 7)",Business Analyst,46696
Program Analyst 12 Month Roster,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-13)",Business Analyst,57118
Program Analyst 12 Month Roster,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-13)",Business Analyst,57118
Program Analyst 12 Month Roster,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-13)",Business Analyst,57118
