job title,agency,department,location,salary,search_keyword
Contract Support Specialist (Sr. Contracting Officer's Rep.) (12-month Roster) AMENDED,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst
Program Analyst,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst
Management and Program Assistant (NTE 1 YR MBMP),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $46,696 Per Year (GS 7)",Business Analyst
Management and Program Assistant (Office Automation) 12-MONTH ROSTER,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $46,696 Per Year (GS 7)",Business Analyst
Program Analyst 12 Month Roster,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-13)",Business Analyst
Program Analyst 12 Month Roster,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-13)",Business Analyst
Program Analyst 12 Month Roster,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-13)",Business Analyst
Management and Program Analyst (12 Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-13)",Business Analyst
FINANCIAL MANAGEMENT ANALYST,Air National Guard Units,Department of the Air Force,"Port Hueneme, California
                    Port Hueneme, California","Starting at $80,015 Per Year (GS 11)",Business Analyst
Program Analyst (12-Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $57,118 Per Year (GS 9-13)",Business Analyst
INFORMATION TECHNOLOGY SPECIALIST (APPLICATION SOFTWARE),U.S. Army Communications Electronics Command,Department of the Army,"Aberdeen Proving Ground, Maryland
                    Aberdeen Proving Ground, Maryland","Starting at $94,199 Per Year (NH 3)",Business Analyst
Program Analyst,Government Publishing Office,Legislative Branch,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $132,368 Per Year (PG 14)",Business Analyst
Operations Research Analyst (12-Month Register),Defense Logistics Agency,Department of Defense,Multiple Locations,"Starting at $102,622 Per Year (GS 13)",Business Analyst
Management And Program Assistant OA,Internal Revenue Service,Department of the Treasury,"Los Angeles, California
                    Los Angeles, California","Starting at $48,655 Per Year (GS 6-7)",Business Analyst
Management and Program Analyst,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst
Management & Program Analyst (Facility Planner),Veterans Health Administration,Department of Veterans Affairs,"Lexington, Kentucky
                    Lexington, Kentucky","Starting at $82,830 Per Year (GS 12)",Business Analyst
Management & Program Analyst (Facility Planner),Veterans Health Administration,Department of Veterans Affairs,"Lexington, Kentucky
                    Lexington, Kentucky","Starting at $82,830 Per Year (GS 12)",Business Analyst
Management and Program Analyst,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $69,107 Per Year (GS 11-13)",Business Analyst
Management and Program Analyst,Internal Revenue Service,Department of the Treasury,"Beckley, West Virginia
                    Beckley, West Virginia","Starting at $98,496 Per Year (GS 13)",Business Analyst
Public Notice for Financial Specialist/Analyst (Direct Hire),Federal Aviation Administration,Department of Transportation,"May be filled in various FAA duty locations,","Starting at $43,544 Per Year (FV F-K)",Business Analyst
Competent Authority Analyst (12 Month Roster),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $129,671 Per Year (GS 14)",Business Analyst
Operations Research Analyst (12 Month Register),Defense Logistics Agency,Department of Defense,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Business Analyst
IT CYBERSECURITY/SPECIALIST (CUSTSPT/INFOSEC),Defense Information Systems Agency,Department of Defense,Multiple Locations,"Starting at $40,082 Per Year (GG 7-12)",Business Analyst
IT CYBERSECURITY/ SPECIALIST (CUSTSPT/INFOSEC),Defense Information Systems Agency,Department of Defense,Multiple Locations,"Starting at $84,546 Per Year (GG 13)",Business Analyst
Management and Program Clerk and Assistant,Internal Revenue Service,Department of the Treasury,"Andover, Massachusetts
                    Andover, Massachusetts","Starting at $47,270 Per Year (GS 6-7)",Business Analyst
