job title,agency,department,location,salary,search_keyword
Civil Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $109,019 Per Year (GS 12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Savannah, Georgia
                    Savannah, Georgia","Starting at $92,928 Per Year (GS 11-12)",Civil Engineer
CIVIL ENGINEER T32,Air National Guard Units,Department of the Air Force,"Phoenix, Arizona
                    Phoenix, Arizona","Starting at $86,343 Per Year (GS 12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Savannah, Georgia
                    Savannah, Georgia","Starting at $92,928 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,Multiple Locations,"Starting at $86,343 Per Year (GS 12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Sausalito, California
                    Sausalito, California","Starting at $85,508 Per Year (GS 11)",Civil Engineer
CIVIL ENGINEER,U.S. Army Corps of Engineers,Department of the Army,"Rock Island, Illinois
                    Rock Island, Illinois","Starting at $47,381 Per Year (GS 7-12)",Civil Engineer
Civil Engineer,Bureau of Land Management,Department of the Interior,"Medford, Oregon
                    Medford, Oregon","Starting at $82,830 Per Year (GS 12)",Civil Engineer
Civil Engineer,Federal Aviation Administration,Department of Transportation,"Fort Worth, Texas
                    Fort Worth, Texas","Starting at $90,892 Per Year (FV I)",Civil Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Klamath Falls, Oregon
                    Klamath Falls, Oregon","Starting at $97,169 Per Year (GS 12)",Civil Engineer
CIVIL ENGINEER,Pacific Air Forces,Department of the Air Force,"Elmendorf AFB, Alaska
                    Elmendorf AFB, Alaska","Starting at $85,806 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,Bureau of Land Management,Department of the Interior,"Vale, Oregon
                    Vale, Oregon","Starting at $37,696 Per Year (GS 5-9)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Cleveland, Ohio
                    Cleveland, Ohio","Starting at $72,185 Per Year (GS 11)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Cleveland, Ohio
                    Cleveland, Ohio","Starting at $72,185 Per Year (GS 11)",Civil Engineer
Civil Engineer,Forest Service,Department of Agriculture,Multiple Locations,"Starting at $69,107 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Wilmington, North Carolina
                    Wilmington, North Carolina","Starting at $98,496 Per Year (GS 13)",Civil Engineer
Civil Engineer,U.S. Army Corps of Engineers,Department of the Army,"Elmendorf AFB, Alaska
                    Elmendorf AFB, Alaska","Starting at $64,660 Per Year (GS 7-11)",Civil Engineer
CIVIL ENGINEER,U.S. Army Corps of Engineers,Department of the Army,"San Francisco, California
                    San Francisco, California","Starting at $85,508 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Albuquerque, New Mexico
                    Albuquerque, New Mexico","Starting at $66,802 Per Year (GS 7-9)",Civil Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,Multiple Locations,"Starting at $53,937 Per Year (GS 5-9)",Civil Engineer
CIVIL ENGINEER,Air Force Civilian Career Training,Department of the Air Force,Multiple Locations,"Starting at $46,696 Per Year (GS 7-9)",Civil Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Lakewood, Colorado
                    Lakewood, Colorado","Starting at $98,859 Per Year (GS 11)",Civil Engineer
CIVIL ENGINEER,U.S. Army Corps of Engineers,Department of the Army,"Philadelphia, Pennsylvania
                    Philadelphia, Pennsylvania","Starting at $90,893 Per Year (GS 12)",Civil Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Glendale, Arizona
                    Glendale, Arizona","Starting at $98,859 Per Year (GS 11-12)",Civil Engineer
Civil Engineer,Bureau of Reclamation,Department of the Interior,"Glendale, Arizona
                    Glendale, Arizona","Starting at $98,859 Per Year (GS 11-12)",Civil Engineer
