job title,agency,department,location,salary,search_keyword
Industry Data Analyst,Geological Survey,Department of the Interior,"Reston, Virginia
                    Reston, Virginia","Starting at $64,957 Per Year (GS 9)",Data Analyst
Data and Reporting Analyst,Department of Homeland Security - Agency Wide,Department of Homeland Security,Anywhere in the U.S. (remote job),"Starting at $112,015 Per Year (GS 13-14)",Data Analyst
Program Analyst (Data Management),"Interior, Bureau of Indian Affairs",Department of the Interior,Anywhere in the U.S. (remote job),"Starting at $82,830 Per Year (GS 12)",Data Analyst
COMPUTER SCIENTIST (DATA SCIENTIST/ DATA ANALYST),Defense Counterintelligence and Security Agency,Department of Defense,Multiple Locations,"Starting at $123,437 Per Year (GG 13)",Data Analyst
Program Analyst (Data),Office of the Chief of Staff of the Army,Department of the Army,"Pentagon, Arlington, Virginia
                    Pentagon, Arlington, Virginia","Starting at $94,199 Per Year (GS 12)",Data Analyst
Data Scientist (Data Visualization Analyst) (12-month Roster),Internal Revenue Service,Department of the Treasury,"IRS Nationwide Locations,","Starting at $116,393 Per Year (GS 14)",Data Analyst
Food and Beverage Data Analyst,Air Force Services Agency,Department of the Air Force,"Kelly AFB, Texas
                    Kelly AFB, Texas",Starting at $26.50 Per Hour (NF 4),Data Analyst
Program Analyst (Data Management),"Interior, Bureau of Indian Affairs",Department of the Interior,"Aberdeen, South Dakota
                    Aberdeen, South Dakota","Starting at $57,118 Per Year (GS 12)",Data Analyst
Supervisory Program Analyst (Data),Department of Defense Education Activity,Department of Defense,"Alexandria, Virginia
                    Alexandria, Virginia","Starting at $155,700 Per Year (GS 15)",Data Analyst
Supervisory Program Analyst (Data),Department of Defense Education Activity,Department of Defense,"Alexandria, Virginia
                    Alexandria, Virginia","Starting at $155,700 Per Year (GS 15)",Data Analyst
Supervisory Program Analyst (Data Scientist),Federal Acquisition Service,General Services Administration,Anywhere in the U.S. (remote job),"Starting at $116,393 Per Year (GS 14)",Data Analyst
SUPERVISORY OPERATIONS RESEARCH ANALYST (DATA SCIENTIST),U.S. Army Cyber Command,Department of the Army,"Fort Huachuca, Arizona
                    Fort Huachuca, Arizona","Starting at $139,141 Per Year (GG 15)",Data Analyst
PROCUREMENT ANALYST (Contract Data Specialist),Air Force Materiel Command,Department of the Air Force,"Wright-Patterson AFB, Ohio
                    Wright-Patterson AFB, Ohio","Starting at $99,908 Per Year (NH 4)",Data Analyst
INTERDISCIPLINARY DATA SCIENTIST/OPERATIONS RESEARCH ANALYST (CHIEF PRODUCT OWNER),Naval Air Systems Command,Department of the Navy,"Patuxent River, Maryland
                    Patuxent River, Maryland","Starting at $132,368 Per Year (DP 5)",Data Analyst
Governmental Information Specialist-Technical Data Analyst,Internal Revenue Service,Department of the Treasury,"IRS Nationwide Locations,","Starting at $98,496 Per Year (GS 13)",Data Analyst
"Supervisory Operations Research Analyst (Data & Analytics Manager) - Temp NTE 1 Yr, MBE, MBMP",Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $116,393 Per Year (IR 4)",Data Analyst
Supervisory Management & Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Gainesville, Florida
                    Gainesville, Florida","Starting at $98,496 Per Year (GS 13)",Data Analyst
Health System Specialist - Credentialing & Privileging Analyst,Veterans Health Administration,Department of Veterans Affairs,"Minneapolis, Minnesota
                    Minneapolis, Minnesota","Starting at $50,660 Per Year (GS 7-9)",Data Analyst
Management Analyst,Administrative Office of the U.S. Courts,Judicial Branch,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $78,592 Per Year (AD 00)",Data Analyst
Management and Program Analyst - Direct Hire,Federal Highway Administration,Department of Transportation,Multiple Locations,"Starting at $69,107 Per Year (GS 11-14)",Data Analyst
Investigative Analyst,U.S. Marshals Service,Department of Justice,"Chicago, Illinois
                    Chicago, Illinois","Starting at $52,022 Per Year (GS 7)",Data Analyst
Program Analyst,Veterans Health Administration,Department of Veterans Affairs,"Orlando, Florida
                    Orlando, Florida","Starting at $69,107 Per Year (GS 11)",Data Analyst
Program Assistant (Analysis),Veterans Health Administration,Department of Veterans Affairs,"San Francisco, California
                    San Francisco, California","Starting at $57,778 Per Year (GS 7)",Data Analyst
Budget Analyst,Department of Energy - Agency Wide,Department of Energy,Multiple Locations,"Starting at $98,496 Per Year (GS 13)",Data Analyst
Management Analyst,Peace Corps,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $82,837 Per Year (FP 3-4)",Data Analyst
