job title,agency,department,location,salary,search_keyword
Data Engineer,Central Intelligence Agency,Other Agencies and Independent Organizations,"Washington DC, District of Columbia
                    Washington DC, District of Columbia","Starting at $69,287 Per Year (GS 9-13)",Data Engineer
DST Data Engineer,Central Intelligence Agency,Other Agencies and Independent Organizations,"Washington DC, District of Columbia
                    Washington DC, District of Columbia","Starting at $72,030 Per Year (GS 8-15)",Data Engineer
"Computer Engineer, AST, Data Systems",George C. Marshall Space Flight Center,National Aeronautics and Space Administration,"Huntsville, Alabama
                    Huntsville, Alabama","Starting at $142,150 Per Year (GS 15)",Data Engineer
LEAD ENGINEERING TECHNICIAN,United States Army Futures Command,Department of the Army,"Aberdeen Proving Ground, Maryland
                    Aberdeen Proving Ground, Maryland","Starting at $94,199 Per Year (DE 3)",Data Engineer
General Engineer - Data Scientist/Statistician/Mathematician/Methodologist/Computer Scientist,Veterans Health Administration,Department of Veterans Affairs,Anywhere in the U.S. (remote job),"Starting at $116,393 Per Year (GS 14)",Data Engineer
LEAD INTERDISCIPLINARY,United States Army Futures Command,Department of the Army,"Aberdeen Proving Ground, Maryland
                    Aberdeen Proving Ground, Maryland","Starting at $94,199 Per Year (DB 3)",Data Engineer
LEAD IT SPECIALIST (INFOSEC),United States Army Futures Command,Department of the Army,"Aberdeen Proving Ground, Maryland
                    Aberdeen Proving Ground, Maryland","Starting at $94,199 Per Year (DE 3)",Data Engineer
ELECTRONICS ENGINEER-DIRECT HIRE AUTHORITY,Department of the Air Force - Agency Wide,Department of the Air Force,"Hill AFB, Utah
                    Hill AFB, Utah","Starting at $82,830 Per Year (NH 3)",Data Engineer
General Engineer,Forest Service,Department of Agriculture,"Madison, Wisconsin
                    Madison, Wisconsin","Starting at $63,734 Per Year (GS 9-11)",Data Engineer
General Engineer (Inspector) (Open to both U.S. Citizens and Federal Employees),Pipeline and Hazardous Materials Safety Administration,Department of Transportation,Multiple Locations,"Starting at $38,240 Per Year (GS 05-09)",Data Engineer
Interdisciplinary,United States Army Futures Command,Department of the Army,"Austin, Texas
                    Austin, Texas","Starting at $119,290 Per Year (GS 14)",Data Engineer
Civil Engineer,U.S. Fish and Wildlife Service,Department of the Interior,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Data Engineer
SUPERVISORY ACQUISITION PROGRAM MANAGER-DIRECT HIRING AUTHORITY,Department of the Air Force - Agency Wide,Department of the Air Force,"Hill AFB, Utah
                    Hill AFB, Utah","Starting at $116,393 Per Year (NH 4)",Data Engineer
Civil Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $109,019 Per Year (GS 12)",Data Engineer
Civil Engineer (Highway - Construction)  -  DIRECT HIRE,Federal Highway Administration,Department of Transportation,Multiple Locations,"Starting at $69,107 Per Year (GS 11-12)",Data Engineer
Civil Engineer (Highway - Construction) (Open to both U.S. Citizens and Federal Employees),Federal Highway Administration,Department of Transportation,Multiple Locations,"Starting at $42,068 Per Year (GS 05-09)",Data Engineer
PRODUCTION CONTROLLER,Army National Guard Units,Department of the Army,"Council Bluffs, Iowa
                    Council Bluffs, Iowa","Starting at $47,104 Per Year (GS 7)",Data Engineer
ENGINEER/SCIENTIST,Naval Sea Systems Command,Department of the Navy,"Dahlgren, Virginia
                    Dahlgren, Virginia","Starting at $78,592 Per Year (ND 4)",Data Engineer
"Associate Chief Engineer, Projects (Supervisory Healthcare Engineer)",Veterans Health Administration,Department of Veterans Affairs,"Atlanta, Georgia
                    Atlanta, Georgia","Starting at $136,965 Per Year (GS 13)",Data Engineer
NAVAL ARCHITECT,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $46,696 Per Year (GS 7-9)",Data Engineer
INTERDISCIPLINARY,United States Army Futures Command,Department of the Army,"Aberdeen Proving Ground, Maryland
                    Aberdeen Proving Ground, Maryland","Starting at $94,199 Per Year (DB 3)",Data Engineer
Electronics Engineer,Forest Service,Department of Agriculture,"Madison, Wisconsin
                    Madison, Wisconsin","Starting at $69,204 Per Year (GS 11-12)",Data Engineer
Civil Engineer (Geotechnical),U.S. Army Corps of Engineers,Department of the Army,"Savannah, Georgia
                    Savannah, Georgia","Starting at $66,802 Per Year (GS 7-12)",Data Engineer
Materials Engineer (Textiles),U.S. Army Joint Munitions Command,Department of the Army,"Pine Bluff Arsenal, Arkansas
                    Pine Bluff Arsenal, Arkansas","Starting at $46,696 Per Year (GS 7-12)",Data Engineer
NAVAL ARCHITECT,Naval Sea Systems Command,Department of the Navy,Multiple Locations,"Starting at $69,107 Per Year (GS 11-12)",Data Engineer
