job title,agency,department,location,salary,search_keyword
Mechanical Engineer,Federal Aviation Administration,Department of Transportation,"Fort Worth, Texas
                    Fort Worth, Texas","Starting at $90,892 Per Year (FV I)",Mechanical Engineer
MECHANICAL ENGINEER/NAVAL ARCHITECT,U.S. Pacific Fleet,Department of the Navy,"Bremerton, Washington
                    Bremerton, Washington","Starting at $76,860 Per Year (GS 11-12)",Mechanical Engineer
Mechanical Engineer,Naval Facilities Engineering Systems Command,Department of the Navy,"Annapolis, Maryland
                    Annapolis, Maryland","Starting at $94,199 Per Year (GS 12-13)",Mechanical Engineer
MECHANICAL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Base, Norfolk, Virginia
                    Naval Base, Norfolk, Virginia","Starting at $83,857 Per Year (GS 12)",Mechanical Engineer
MECHANICAL ENGINEER,Military Sealift Command,Department of the Navy,"Naval Base, Norfolk, Virginia
                    Naval Base, Norfolk, Virginia","Starting at $38,162 Per Year (GS 5-7)",Mechanical Engineer
"Mechanical Engineer, AST, Mechanical Experimental Equipment (Direct-Hire)",John Glenn Research Center at Lewis Field,National Aeronautics and Space Administration,"Cleveland, Ohio
                    Cleveland, Ohio","Starting at $102,884 Per Year (GS 13)",Mechanical Engineer
Mechanical Engineer (Energy/Economic Analysis),Army Installation Management Command,Department of the Army,"Fort Sill, Oklahoma
                    Fort Sill, Oklahoma","Starting at $42,068 Per Year (GS 5-12)",Mechanical Engineer
MECHANICAL ENGINEER- DIRECT HIRE AUTHORITY,Department of the Air Force - Agency Wide,Department of the Air Force,"Eglin AFB, Florida
                    Eglin AFB, Florida","Starting at $70,183 Per Year (DR 2-3)",Mechanical Engineer
Civil/Mechanical/Electrical/Electronics Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $121,180 Per Year (GS 13)",Mechanical Engineer
MECHANICAL OR ELECTRICAL ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Washington Navy Yard, District of Columbia
                    Washington Navy Yard, District of Columbia","Starting at $94,199 Per Year (GS 12-13)",Mechanical Engineer
Patent Examiner (Mechanical Engineering),Patent and Trademark Office,Department of Commerce,"Alexandria, Virginia
                    Alexandria, Virginia","Starting at $61,325 Per Year (GS 7-9)",Mechanical Engineer
Mechanical Engineer (Direct Hire Authority),Army Tank-Automotive and Armament Command (TACOM),Department of the Army,"Texarkana, Texas
                    Texarkana, Texas","Starting at $42,068 Per Year (GS 5-12)",Mechanical Engineer
Research Mechanical Engineer/Electrical Engineer/Agricultural Engineer/Physicist,Agricultural Research Service,Department of Agriculture,"Las Cruces, New Mexico
                    Las Cruces, New Mexico","Starting at $98,496 Per Year (GS 13-15)",Mechanical Engineer
Interdisciplinary Architect/Civil Engineer (Structural)/Mechanical Engineer/Electrical Engineer,Bonneville Power Administration,Department of Energy,"Portland, Oregon
                    Portland, Oregon","Starting at $105,666 Per Year (GS 13)",Mechanical Engineer
Interdisciplinary Architect/Civil Engineer (Structural)/Mechanical Engineer/Electrical Engineer,Bonneville Power Administration,Department of Energy,"Portland, Oregon
                    Portland, Oregon","Starting at $105,666 Per Year (GS 13)",Mechanical Engineer
ENGINEERING TECHNICIAN (MECHANICAL),Naval Sea Systems Command,Department of the Navy,"Keyport, Washington
                    Keyport, Washington","Starting at $41,925 Per Year (GS 5-9)",Mechanical Engineer
Engineering Technician (Mechanical),Army Installation Management Command,Department of the Army,"Fort Cavazos, Texas
                    Fort Cavazos, Texas","Starting at $69,107 Per Year (GS 11)",Mechanical Engineer
Public Notice for Mechanical Engineer (Direct Hire),Federal Aviation Administration,Department of Transportation,"May be filled in various FAA duty locations,","Starting at $47,813 Per Year (FV G-K)",Mechanical Engineer
Student Trainee (Mechanical Engineering),Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $36,145 Per Year (GS 4)",Mechanical Engineer
"Supervisory Mechanical Engineer, GS-0830-14",U.S. Coast Guard,Department of Homeland Security,"Baltimore, Maryland
                    Baltimore, Maryland","Starting at $132,368 Per Year (GS 14)",Mechanical Engineer
Supervisory Architect/Civil Engineer/Environmental Engineer/Mechanical Engineer/Electrical Engineer,U.S. Army Corps of Engineers,Department of the Army,"Kuwait, Kuwait
                    Kuwait, Kuwait","Starting at $99,908 Per Year (GS 14)",Mechanical Engineer
MECHANICAL / ELECTRICAL / ELECTRONICS ENGINEER,Naval Facilities Engineering Systems Command,Department of the Navy,"Naval Facilities Engineering Command, Atlantic, Virginia
                    Naval Facilities Engineering Command, Atlantic, Virginia","Starting at $83,854 Per Year (GS 12-13)",Mechanical Engineer
"Project Engineer (Civil, Mechanical, Electrical)",U.S. Army Corps of Engineers,Department of the Army,"Sault Ste. Marie, Michigan
                    Sault Ste. Marie, Michigan","Starting at $97,169 Per Year (GS 12)",Mechanical Engineer
"Engineering Technician (Mechanical/Drafting), GS-0802-07/08/09",U.S. Coast Guard,Department of Homeland Security,"Kodiak, Alaska
                    Kodiak, Alaska","Starting at $52,636 Per Year (GS 07-09)",Mechanical Engineer
"Engineering Technician (Mechanical/Drafting), GS-0802-07/08/09",U.S. Coast Guard,Department of Homeland Security,"Kodiak, Alaska
                    Kodiak, Alaska","Starting at $52,636 Per Year (GS 07-09)",Mechanical Engineer
