job title,agency,department,location,salary,search_keyword
Natural Resources Project Manager,U.S. Army Corps of Engineers,Department of the Army,"Springfield, Ohio
                    Springfield, Ohio","Starting at $71,533 Per Year (GS 11)",Project Manager
IT PROJECT MANAGER (SYSANALYSIS),Defense Information Systems Agency,Department of Defense,"Offutt AFB, Nebraska
                    Offutt AFB, Nebraska","Starting at $99,358 Per Year (GG 13)",Project Manager
IT Project Manager,Office of the Chief Information Officer,Department of Housing and Urban Development,Anywhere in the U.S. (remote job),"Starting at $98,496 Per Year (GS 13-14)",Project Manager
IT Project Manager,Office of the Chief Information Officer,Department of Housing and Urban Development,Anywhere in the U.S. (remote job),"Starting at $98,496 Per Year (GS 13-14)",Project Manager
OPERATIONS PROJECT MANAGER,U.S. Army Corps of Engineers,Department of the Army,"Neville Island, Pennsylvania
                    Neville Island, Pennsylvania","Starting at $101,768 Per Year (GS 13)",Project Manager
Project Manager (Fuels),Bureau of Land Management,Department of the Interior,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Project Manager
Project Manager (Interdisciplinary),U.S. Army Corps of Engineers,Department of the Army,Multiple Locations,"Starting at $98,496 Per Year (GS 12-13)",Project Manager
Interdisciplinary (Project Manager),Bureau of Reclamation,Department of the Interior,"Redding, California
                    Redding, California","Starting at $92,928 Per Year (GS 11-12)",Project Manager
Project Manager (Interdisciplinary),U.S. Army Corps of Engineers,Department of the Army,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Project Manager
Interdisciplinary (Project Manager),Bureau of Reclamation,Department of the Interior,"Redding, California
                    Redding, California","Starting at $92,928 Per Year (GS 11-12)",Project Manager
IT PROJECT MANAGER (CUSTSPT),Defense Information Systems Agency,Department of Defense,"Pentagon, Arlington, Virginia
                    Pentagon, Arlington, Virginia","Starting at $112,015 Per Year (GG 13)",Project Manager
Interdisciplinary Project Manager - Direct Hire,U.S. Army Corps of Engineers,Department of the Army,"Portland, Oregon
                    Portland, Oregon","Starting at $88,860 Per Year (GS 12-13)",Project Manager
Project Manager (Business Systems Planning Project Manager),Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $116,393 Per Year (GS 14)",Project Manager
Senior Project Manager,Internal Revenue Service,Department of the Treasury,"Washington DC, District of Columbia
                    Washington DC, District of Columbia","Starting at $155,700 Per Year (GS 15)",Project Manager
PROJECT MANAGER - INTERDISCIPLINARY,U.S. Army Corps of Engineers,Department of the Army,"Walla Walla, Washington
                    Walla Walla, Washington","Starting at $82,830 Per Year (GS 12-13)",Project Manager
IT PROJECT MANAGER/SERVICE MANAGER,"Commander, Naval Information Warfare Systems Command (NAVWARSYSCOM)",Department of the Navy,"Joint Base Anacostia-Bolling, District of Columbia
                    Joint Base Anacostia-Bolling, District of Columbia","Starting at $94,199 Per Year (DP 3)",Project Manager
IT Project Manager,Environmental Protection Agency,Other Agencies and Independent Organizations,Multiple Locations,"Starting at $108,532 Per Year (GS 13)",Project Manager
Civil Engineer (Project Manager),U.S. Army Corps of Engineers,Department of the Army,"Concord, Massachusetts
                    Concord, Massachusetts","Starting at $130,929 Per Year (GS 14)",Project Manager
Engineer/Facilities Project Manager,Central Intelligence Agency,Other Agencies and Independent Organizations,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $69,287 Per Year (GS 9-13)",Project Manager
MAJOR PROJECT PROGRAM MANAGER (PORTFOLIO MANAGER),Naval Facilities Engineering Systems Command,Department of the Navy,Multiple Locations,"Starting at $117,831 Per Year (GS 14)",Project Manager
"Interdisciplinary (Project Manager, Military Projects) - Open Continuous",U.S. Army Corps of Engineers,Department of the Army,Multiple Locations,"Starting at $82,830 Per Year (GS 12)",Project Manager
Supervisory Project Manager,Internal Revenue Service,Department of the Treasury,Multiple Locations,"Starting at $116,393 Per Year (IR 4)",Project Manager
Project Manager (Interdisciplinary),U.S. Army Corps of Engineers,Department of the Army,"Louisville, Kentucky
                    Louisville, Kentucky","Starting at $82,830 Per Year (GS 12)",Project Manager
Project Manager (Interdisciplinary),U.S. Army Corps of Engineers,Department of the Army,"Louisville, Kentucky
                    Louisville, Kentucky","Starting at $82,830 Per Year (GS 12)",Project Manager
Architect (Project Manager),"Justice, Bureau of Prisons/Federal Prison System",Department of Justice,"Washington, District of Columbia
                    Washington, District of Columbia","Starting at $112,015 Per Year (GS 13)",Project Manager
