job title,agency,department,location,salary,search_keyword
INTERDISCIPLINARY ENGINEER/SCIENTIST,Naval Air Systems Command,Department of the Navy,"Point Mugu, California
                    Point Mugu, California","Starting at $95,905 Per Year (DP 4)",Software Engineer
ENGINEER/SCIENTIST,Naval Sea Systems Command,Department of the Navy,"Dahlgren, Virginia
                    Dahlgren, Virginia","Starting at $78,592 Per Year (ND 4)",Software Engineer
Computer Engineer,U.S. Army Communications Electronics Command,Department of the Army,"Fort Belvoir, Virginia
                    Fort Belvoir, Virginia","Starting at $94,199 Per Year (DB 3)",Software Engineer
INTERDISCIPLINARY,Defense Information Systems Agency,Department of Defense,"Fort Meade, Maryland
                    Fort Meade, Maryland","Starting at $112,015 Per Year (GG 13)",Software Engineer
Electronics Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $109,019 Per Year (GS 12)",Software Engineer
Electronics Engineer,Bonneville Power Administration,Department of Energy,"Vancouver, Washington
                    Vancouver, Washington","Starting at $109,019 Per Year (GS 12)",Software Engineer
CIVIL ENGINEER,Air Force Civilian Career Training,Department of the Air Force,Multiple Locations,"Starting at $46,696 Per Year (GS 7-9)",Software Engineer
Civil Engineer (Structural) - DIRECT HIRE,Federal Highway Administration,Department of Transportation,"Ashburn, Virginia
                    Ashburn, Virginia","Starting at $78,592 Per Year (GS 11-12)",Software Engineer
IT SPECIALIST (Application Software),Defense Health Agency,Department of Defense,"San Antonio, Texas
                    San Antonio, Texas","Starting at $83,897 Per Year (GS 12)",Software Engineer
Interdisciplinary Engineer,Defense Contract Management Agency,Department of Defense,Multiple Locations,"Starting at $95,219 Per Year (NH 3)",Software Engineer
Interdisciplinary Engineer,Defense Contract Management Agency,Department of Defense,Multiple Locations,"Starting at $83,727 Per Year (NH 3)",Software Engineer
Interdisciplinary Engineer,Defense Contract Management Agency,Department of Defense,"Hudson, New Hampshire
                    Hudson, New Hampshire","Starting at $94,184 Per Year (NH 3)",Software Engineer
Engineering Technician,U.S. Army Corps of Engineers,Department of the Army,"Philadelphia, Pennsylvania
                    Philadelphia, Pennsylvania","Starting at $75,833 Per Year (GS 11-12)",Software Engineer
ENGINEER OR SCIENTIST,Naval Sea Systems Command,Department of the Navy,"Naval Base Newport, Rhode Island
                    Naval Base Newport, Rhode Island","Starting at $77,738 Per Year (ND 4)",Software Engineer
Fire Protection Engineer,Military Treatment Facilities under DHA,Department of Defense,"Naval Medical Center, San Diego, California
                    Naval Medical Center, San Diego, California","Starting at $111,609 Per Year (GS 13)",Software Engineer
ENGINEER/SCIENTIST,Naval Sea Systems Command,Department of the Navy,"Dahlgren, Virginia
                    Dahlgren, Virginia","Starting at $38,317 Per Year (ND 2-4)",Software Engineer
Computer Scientist,U.S. Army Communications Electronics Command,Department of the Army,"Aberdeen Proving Ground, Maryland
                    Aberdeen Proving Ground, Maryland","Starting at $94,199 Per Year (NH 3)",Software Engineer
Civil Engineer (Operations Program Specialist) - DIRECT HIRE,Federal Highway Administration,Department of Transportation,"Nashville, Tennessee
                    Nashville, Tennessee","Starting at $82,830 Per Year (GS 12)",Software Engineer
Engineering Technician,U.S. Army Corps of Engineers,Department of the Army,"Buffalo, New York
                    Buffalo, New York","Starting at $39,265 Per Year (GS 5-11)",Software Engineer
Supervisory Interdisciplinary,U.S. Army Communications Electronics Command,Department of the Army,"Aberdeen Proving Ground, Maryland
                    Aberdeen Proving Ground, Maryland","Starting at $141,022 Per Year (DB 5)",Software Engineer
Interdisciplinary Computer Engineer,Defense Contract Management Agency,Department of Defense,Multiple Locations,"Starting at $71,099 Per Year (NH 3)",Software Engineer
Electronics Engineer - DIRECT HIRE,U.S. Army Corps of Engineers,Department of the Army,"Sacramento, California
                    Sacramento, California","Starting at $111,389 Per Year (GS 12)",Software Engineer
Applications Developer,Central Intelligence Agency,Other Agencies and Independent Organizations,"Washington DC, District of Columbia
                    Washington DC, District of Columbia","Starting at $69,287 Per Year (GS 9-14)",Software Engineer
Civil Engineer (Hydraulics),U.S. Army Corps of Engineers,Department of the Army,"Buffalo, New York
                    Buffalo, New York","Starting at $86,279 Per Year (GS 12)",Software Engineer
INTERDISCIPLINARY ENGINEER/SCIENTIST,Naval Air Systems Command,Department of the Navy,"China Lake, California
                    China Lake, California","Starting at $95,905 Per Year (DP 4)",Software Engineer
